MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
46_2.525	6.42430675681e-22	9.91595212319	384	15173	163	15394	2.35582822086
25_5.191	8.53251943336e-17	10.1533180651	340	15217	157	15400	2.16560509554
7_13.406	0.00682398747267	8.47036897212	214	15343	161	15396	1.32919254658
15_8.228	1.9067719015e-117	10.1424861048	843	14714	157	15400	5.36942675159
24_5.249	2.1031478909e-06	9.65164538903	253	15304	157	15400	1.61146496815
11_10.733	8.14842085032e-127	8.92521851174	891	14666	161	15396	5.53416149068
22_5.509	1.50229079048e-62	9.87155500515	595	14962	156	15401	3.8141025641
32_4.507	1.62788129467e-121	9.30611485332	886	14671	169	15388	5.2426035503
49_2.333	3.52095197508e-38	9.42808246335	536	15021	196	15361	2.73469387755
35_4.263	1.22543133374e-69	10.5592733972	801	14756	251	15306	3.19123505976
30_4.564	6.48081228549e-07	9.27607056303	276	15281	171	15386	1.61403508772
21_5.641	1.16110715307e-80	9.96004348659	680	14877	156	15401	4.35897435897
29_4.58	5.8468087102e-39	8.91831115403	481	15076	160	15397	3.00625
20_5.698	1.37930933271e-06	10.8124371425	265	15292	165	15392	1.60606060606
31_4.544	2.89755639891e-49	10.0731513976	543	15014	164	15393	3.31097560976
39_3.779	9.92702842986e-12	9.91234506471	307	15250	161	15396	1.90683229814
42_3.507	7.09302459025e-46	9.24306430368	801	14756	336	15221	2.38392857143
34_4.421	3.35021762685e-69	9.13190366535	696	14861	193	15364	3.60621761658
27_4.891	1.56951968775e-38	9.6017438941	482	15075	162	15395	2.97530864198
6_13.557	1.60589127622e-147	9.90712187422	967	14590	157	15400	6.15923566879
43_3.473	7.66107586812e-50	10.6452785541	546	15011	164	15393	3.32926829268
33_4.427	3.32589515566e-14	9.24437279575	328	15229	162	15395	2.02469135802
41_3.591	6.07426059226e-185	9.29639322288	1226	14331	205	15352	5.98048780488
37_3.909	0.000558204477817	9.56757126699	232	15325	163	15394	1.42331288344
16_7.77	5.33949891994e-105	9.6571826298	792	14765	158	15399	5.01265822785
5_14.342	8.74553462144e-203	9.69866167443	1181	14376	156	15401	7.57051282051
40_3.692	5.64085285514e-23	9.97530529409	397	15160	167	15390	2.37724550898
14_8.742	4.23909753699e-54	9.48526973769	557	15000	158	15399	3.5253164557
4_14.637	1.05880082186e-131	10.7961498616	944	14613	176	15381	5.36363636364
38_3.788	3.87276326223e-35	10.890821057	453	15104	156	15401	2.90384615385
23_5.432	2.37317427142e-105	10.8085892997	804	14753	163	15394	4.93251533742
48_2.451	8.27318338088e-51	10.1362293881	703	14854	254	15303	2.76771653543
8_11.975	6.814860158e-215	9.33527063764	1307	14250	189	15368	6.91534391534
13_8.995	4.28585809071e-181	10.1942373988	1147	14410	177	15380	6.4802259887
28_4.783	6.92866147459e-16	10.4843547063	332	15225	156	15401	2.12820512821
10_11.145	0.0	9.1749276886	2062	13495	169	15388	12.201183432
0_39.932	0.0	9.01049229132	5382	10175	156	15401	34.5
47_2.498	2.23857601492e-10	10.0002461382	502	15055	322	15235	1.55900621118
44_3.418	8.13701881746e-52	8.96212666	676	14881	234	15323	2.88888888889
3_15.34	2.30210648392e-31	8.78714152539	433	15124	157	15400	2.75796178344
9_11.488	7.03065472129e-32	10.9322947512	436	15121	157	15400	2.77707006369
19_5.77	3.70537997459e-19	9.9816027558	355	15202	156	15401	2.27564102564
26_4.957	3.05555044258e-183	9.59092708832	1287	14270	236	15321	5.45338983051
45_3.206	4.42839759449e-23	10.8070347657	482	15075	224	15333	2.15178571429
1_30.564	0.0	10.6155148976	2266	13291	156	15401	14.5256410256
2_17.815	3.61883973871e-305	10.8267026565	1584	13973	166	15391	9.5421686747
36_4.211	1.14436604265e-34	10.0688073371	452	15105	157	15400	2.87898089172
17_6.821	6.86097290876e-210	9.04870235812	1397	14160	237	15320	5.89451476793
18_6.311	1.93882545256e-81	8.66214150073	1021	14536	344	15213	2.96802325581
12_10.594	5.08224522262e-50	10.5731343467	561	14996	172	15385	3.26162790698
