MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
34_4.32	4.87557274126e-07	9.81504598671	331	15226	214	15343	1.54672897196
11_10.316	3.77689651623e-298	8.82291644031	1807	13750	267	15290	6.76779026217
25_5.557	1.82629947606e-05	10.4594962276	249	15308	162	15395	1.53703703704
24_5.59	1.81049839068e-150	9.69323825846	1035	14522	182	15375	5.68681318681
28_5.165	7.35864518122e-85	10.2588382765	717	14840	165	15392	4.34545454545
22_5.931	4.48143065549e-198	8.7450407741	1397	14160	259	15298	5.39382239382
19_6.858	3.04885229316e-23	8.82851707733	385	15172	158	15399	2.43670886076
39_4.064	2.80297227784e-111	9.20843430997	863	14694	179	15378	4.82122905028
4_12.603	7.95233045703e-227	9.28641238339	1386	14171	203	15354	6.8275862069
1_29.653	0.0	10.9949887664	2084	13473	158	15399	13.1898734177
13_10.011	0.000100301171719	8.81664613078	121	15436	190	15367	0.636842105263
0_40.253	0.0	9.04695199479	5732	9825	157	15400	36.5095541401
32_4.643	1.15138447253e-69	9.25592801904	629	14928	156	15401	4.03205128205
18_6.966	1.21932062289e-71	10.0600500557	646	14911	160	15397	4.0375
7_11.38	6.08865534685e-102	10.0540166803	785	14772	161	15396	4.87577639752
47_3.17	2.13920940393e-28	8.90432508743	464	15093	188	15369	2.46808510638
12_10.22	1.51919601344e-123	10.731696711	918	14639	180	15377	5.1
29_5.136	8.586782358e-36	10.0606867876	465	15092	161	15396	2.88819875776
26_5.526	1.11577668054e-49	8.82749350449	771	14786	301	15256	2.56146179402
6_11.636	2.57349599332e-35	10.8804013898	454	15103	156	15401	2.91025641026
5_12.488	1.15497710236e-68	10.4362986398	630	14927	159	15398	3.96226415094
8_10.974	8.10497242074e-07	9.9322573144	256	15301	156	15401	1.64102564103
23_5.741	3.38203241541e-13	9.58960163052	316	15241	159	15398	1.98742138365
36_4.262	1.23546581767e-52	10.363393638	555	15002	161	15396	3.44720496894
44_3.545	1.20577725666e-23	10.956217575	412	15145	174	15383	2.36781609195
14_9.837	2.31152462055e-16	9.34591176812	504	15053	278	15279	1.81294964029
46_3.35	9.55735845856e-18	10.5578231282	482	15075	253	15304	1.90513833992
2_19.225	7.79733671244e-12	5.17229735695	301	15256	156	15401	1.92948717949
43_3.596	3.54082411793e-145	9.71039838484	1052	14505	200	15357	5.26
35_4.319	6.05409251718e-164	9.52916227316	1287	14270	275	15282	4.68
17_8.3	2.11000866879e-202	8.98067188508	1182	14375	157	15400	7.52866242038
20_6.171	1.15188513908e-14	9.65921340895	323	15234	156	15401	2.07051282051
21_5.973	1.48325357825e-43	10.7220004164	499	15058	156	15401	3.19871794872
3_15.329	0.0	10.5787368718	1763	13794	157	15400	11.2292993631
27_5.497	1.40759022064e-33	10.2289925602	454	15103	162	15395	2.8024691358
10_10.8	7.80155467441e-40	10.4698159814	479	15078	156	15401	3.07051282051
42_3.602	6.13011096469e-24	8.87324191427	423	15134	180	15377	2.35
41_3.745	2.3924029174e-18	10.6397319298	491	15066	256	15301	1.91796875
48_3.035	1.33519235452e-46	9.42932170243	536	15021	168	15389	3.19047619048
49_2.793	4.78242335658e-08	9.55893855077	290	15267	173	15384	1.67630057803
45_3.4	7.83318837081e-184	9.33323043516	1226	14331	207	15350	5.92270531401
16_8.821	1.33863458804e-112	9.26654522554	831	14726	161	15396	5.16149068323
31_4.908	9.86565462209e-134	9.99608162688	1150	14407	273	15284	4.21245421245
38_4.155	1.13332691164e-28	9.34926715178	458	15099	183	15374	2.50273224044
33_4.537	6.8737574718e-63	9.61087793297	668	14889	195	15362	3.42564102564
9_10.925	3.54975931963e-204	9.29537982709	1307	14250	207	15350	6.31400966184
40_3.895	6.62664809997e-16	9.21727933244	404	15153	207	15350	1.95169082126
30_4.972	4.3370055953e-81	10.2410494708	763	14794	198	15359	3.85353535354
37_4.195	2.67328561199e-70	10.499662401	801	14756	249	15308	3.21686746988
15_9.577	4.04162503895e-13	10.3948391071	314	15243	158	15399	1.98734177215
