MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
16_16.822	3.31941040973e-06	10.1220712084	142	4371	74	4439	1.91891891892
50_12.501	2.65548541499e-06	10.6400503316	159	4354	86	4427	1.8488372093
25_15.102	0.816930540796	10.8707735457	157	4356	152	4361	1.03289473684
111_4.594	0.184911379508	10.9618467588	73	4440	57	4456	1.28070175439
10_19.793	8.00499597416e-24	10.5081382194	282	4231	94	4419	3.0
90_9.21	0.745624655268	10.1279478855	125	4388	119	4394	1.05042016807
83_9.754	0.383706770135	11.4234952637	59	4454	49	4464	1.20408163265
28_14.605	9.88792909221e-18	9.52633958624	232	4281	84	4429	2.7619047619
6_20.852	4.51172188959e-18	9.40190842742	178	4335	51	4462	3.49019607843
61_11.749	0.0546132622553	9.70733720762	85	4428	61	4452	1.39344262295
58_11.866	0.000114376186045	8.59378712317	156	4357	95	4418	1.64210526316
97_8.692	2.19575248024e-05	6.75463104037	115	4398	59	4454	1.94915254237
85_9.604	0.013557248031	9.58899346689	91	4422	60	4453	1.51666666667
72_10.74	0.00283944481953	10.4460606452	84	4429	49	4464	1.71428571429
13_18.286	0.0010052730886	11.734094638	84	4429	46	4467	1.82608695652
30_14.334	0.080233971066	10.781524632	77	4436	56	4457	1.375
62_11.74	2.87576872725e-08	8.64411074428	119	4394	48	4465	2.47916666667
0_37.036	8.89899976719e-259	11.5405159818	1130	3383	91	4422	12.4175824176
69_11.246	0.208022213464	9.34973056622	61	4452	47	4466	1.29787234043
44_12.858	8.27809743255e-06	9.00193930075	107	4406	51	4462	2.09803921569
104_7.5	0.91642395079	10.5984220915	188	4325	191	4322	0.984293193717
102_7.802	0.936454460162	10.9457940349	81	4432	79	4434	1.0253164557
91_9.201	0.274748516403	9.58557703146	79	4434	65	4448	1.21538461538
80_10.078	0.184824477843	7.64188437699	64	4449	49	4464	1.30612244898
113_3.975	0.261686314953	10.4529050752	142	4371	123	4390	1.15447154472
48_12.645	0.111756259368	9.83652559204	67	4446	49	4464	1.36734693878
70_11.153	0.548456886305	10.7480689438	54	4459	47	4466	1.14893617021
2_26.53	4.14614457687e-05	12.2712470283	241	4272	160	4353	1.50625
46_12.707	0.0055246844527	10.5900517712	146	4367	102	4411	1.43137254902
89_9.238	0.102498428699	8.73684810259	64	4449	46	4467	1.39130434783
108_6.29	0.838351771229	7.32079328064	50	4463	47	4466	1.06382978723
98_8.597	3.41112109075e-33	10.3470066442	403	4110	137	4376	2.94160583942
67_11.263	0.841501692297	8.98777548143	52	4461	49	4464	1.0612244898
73_10.693	0.760769311223	8.70143874404	51	4462	47	4466	1.08510638298
1_36.809	4.05581989091e-137	10.356130365	678	3835	68	4445	9.97058823529
77_10.234	0.146141039842	9.73768215269	62	4451	46	4467	1.34782608696
116_1.696	0.0251177991301	7.01855225885	71	4442	46	4467	1.54347826087
18_16.394	1.33747744577e-44	8.10141413888	287	4226	47	4466	6.10638297872
117_0.801	0.336011108195	10.2002096724	133	4380	117	4396	1.13675213675
99_8.154	0.506011247741	9.77877755231	78	4435	69	4444	1.13043478261
27_14.698	5.35423972476e-05	8.05238086044	94	4419	46	4467	2.04347826087
8_20.493	0.00229610335548	10.1396152333	90	4423	53	4460	1.69811320755
14_18.125	5.18751797701e-08	10.7779833108	341	4172	216	4297	1.5787037037
95_8.892	0.186370873658	10.5159455498	169	4344	145	4368	1.16551724138
22_15.47	2.24983688459e-25	10.4696225223	450	4063	197	4316	2.28426395939
86_9.457	0.116711040438	10.4610254072	193	4320	163	4350	1.18404907975
76_10.351	0.1607081576	8.63007598425	66	4447	50	4463	1.32
66_11.266	0.000528549736877	8.65009897419	93	4420	51	4462	1.82352941176
21_15.496	4.13510433955e-13	8.5823869153	212	4301	89	4424	2.38202247191
60_11.768	0.316999948791	10.9798446779	45	4468	56	4457	0.803571428571
65_11.385	0.0926991483823	10.8760495332	147	4366	119	4394	1.23529411765
20_15.717	0.634685179428	11.6290469892	59	4454	53	4460	1.11320754717
78_10.137	0.420836524429	9.3816171627	73	4440	84	4429	0.869047619048
40_13.097	0.022559783857	10.2204269775	155	4358	117	4396	1.32478632479
74_10.465	3.91742010518e-05	8.2157552175	95	4418	46	4467	2.0652173913
29_14.434	4.15289785397e-08	9.42104342939	118	4395	48	4465	2.45833333333
75_10.377	0.0160756728805	8.51204550131	73	4440	46	4467	1.58695652174
47_12.671	0.692008172085	10.322237185	54	4459	49	4464	1.10204081633
39_13.229	0.0692260098567	10.8134250856	79	4434	57	4456	1.38596491228
11_18.648	0.0212666217703	11.7481439847	90	4423	61	4452	1.47540983607
38_13.278	4.41263015294e-05	9.13096894972	103	4410	52	4461	1.98076923077
54_12.189	0.000118987479732	9.99676660429	101	4412	53	4460	1.90566037736
41_13.065	0.0486108650706	11.584690383	110	4403	82	4431	1.34146341463
57_11.916	1.18998858343e-06	9.04638015094	110	4403	49	4464	2.24489795918
84_9.674	0.000634742677842	9.20191600862	91	4422	50	4463	1.82
26_14.839	0.544492153133	10.9831249066	53	4460	46	4467	1.15217391304
100_7.924	0.760769311223	8.74530798486	51	4462	47	4466	1.08510638298
17_16.628	5.35423972476e-05	8.99199571423	94	4419	46	4467	2.04347826087
52_12.35	3.15744271168e-05	10.3096277168	208	4305	132	4381	1.57575757576
114_3.273	0.000731594614165	10.4560232527	160	4353	105	4408	1.52380952381
35_13.661	0.0847375529043	10.1508705449	79	4434	58	4455	1.36206896552
79_10.102	0.928559317733	9.89185901485	64	4449	62	4451	1.03225806452
87_9.406	4.67469336075e-10	8.78600698501	133	4380	50	4463	2.66
45_12.817	0.167791561055	9.14328130695	68	4445	52	4461	1.30769230769
23_15.359	0.323867675573	11.3758852441	37	4476	47	4466	0.787234042553
32_14.154	0.0100341563067	10.7212958286	232	4281	180	4333	1.28888888889
49_12.546	0.066743841415	10.3774853378	71	4442	50	4463	1.42
101_7.83	0.490128231192	8.0625172299	56	4457	48	4465	1.16666666667
107_6.627	0.848625006443	11.1622172342	57	4456	54	4459	1.05555555556
37_13.304	0.00377744006533	8.0932292867	79	4434	46	4467	1.71739130435
55_12.163	1.24605021531e-06	8.9676651763	159	4354	84	4429	1.89285714286
43_12.878	0.0179121473655	10.3108895327	145	4368	107	4406	1.35514018692
33_14.082	0.00013397499797	9.49443772854	91	4422	46	4467	1.97826086957
112_4.287	3.15077521731e-14	10.6828500437	268	4245	122	4391	2.19672131148
96_8.78	0.520198183929	10.4163350059	64	4449	56	4457	1.14285714286
88_9.398	1.64623895138e-21	9.74266176283	193	4320	50	4463	3.86
36_13.479	0.010099093998	10.4037707693	113	4400	77	4436	1.46753246753
31_14.262	0.0251177991301	11.9163080407	71	4442	46	4467	1.54347826087
109_6.084	0.0449122059846	8.75668135567	79	4434	55	4458	1.43636363636
63_11.674	0.25999266234	8.8459504439	64	4449	51	4462	1.25490196078
82_9.787	0.282436467305	8.65210476364	59	4454	47	4466	1.25531914894
12_18.627	3.22186632981e-11	9.4016774552	151	4362	57	4456	2.64912280702
56_11.932	0.0706551243216	10.8427200263	87	4426	64	4449	1.359375
3_24.612	1.47969768051e-07	13.793617161	119	4394	51	4462	2.33333333333
4_24.531	5.65279487006e-31	12.8873570005	228	4285	46	4467	4.95652173913
5_24.313	9.86821085962e-35	13.074788338	279	4234	63	4450	4.42857142857
110_5.333	0.126122892076	11.2672249278	64	4449	47	4466	1.36170212766
71_10.958	1.7355764177e-08	10.320738027	190	4323	96	4417	1.97916666667
105_7.035	0.92222715986	10.1154844476	54	4459	52	4461	1.03846153846
59_11.796	0.0423403176167	10.561871813	213	4300	173	4340	1.23121387283
92_9.157	0.129500893378	10.687059771	65	4448	48	4465	1.35416666667
7_20.663	6.99582135695e-35	9.57817800086	380	4133	118	4395	3.22033898305
19_16.328	9.57101849861e-07	8.24840593569	128	4385	61	4452	2.09836065574
106_6.978	0.243075653519	10.2386506925	60	4453	47	4466	1.27659574468
94_8.914	0.448994165732	8.81427175845	61	4452	52	4461	1.17307692308
34_13.729	0.00552652620748	12.6797741414	180	4333	131	4382	1.37404580153
9_19.924	0.00398407062061	11.3569717423	137	4376	93	4420	1.47311827957
42_12.884	0.228197991096	9.95426798105	66	4447	52	4461	1.26923076923
15_17.655	0.105596986419	9.55509650025	65	4448	47	4466	1.3829787234
93_9.118	0.0296148179333	8.38732525372	106	4407	76	4437	1.39473684211
68_11.249	3.07515405334e-05	8.53350488452	100	4413	49	4464	2.04081632653
51_12.419	0.00520227194799	10.2440134221	109	4404	71	4442	1.53521126761
64_11.599	0.00219883535785	10.4255920276	140	4373	93	4420	1.50537634409
81_9.833	0.0356127254589	8.24058921173	73	4440	49	4464	1.48979591837
24_15.288	0.37022055119	11.1027838806	56	4457	46	4467	1.21739130435
115_2.586	0.481674236902	10.3357017615	54	4459	46	4467	1.17391304348
103_7.763	0.37022055119	7.87710857529	56	4457	46	4467	1.21739130435
53_12.281	0.0591512668694	8.47336868041	119	4394	91	4422	1.30769230769
