MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
151_6.723	0.130141067844	8.93055040716	73	4927	55	4945	1.32727272727
146_6.962	0.00676784218611	9.00823351585	109	4891	72	4928	1.51388888889
47_13.501	0.0168176505409	8.02476421045	79	4921	51	4949	1.54901960784
134_8.036	0.00903529795013	8.80334227581	88	4912	56	4944	1.57142857143
31_15.89	0.08308127034	7.97783153112	71	4929	51	4949	1.39215686275
54_13.021	0.0387906168979	7.930693929	75	4925	51	4949	1.47058823529
180_3.73	0.22455160961	8.19098066199	109	4891	91	4909	1.1978021978
102_9.761	0.348334089147	8.86787166901	63	4937	52	4948	1.21153846154
76_11.22	0.0280137813389	7.95886073752	91	4909	63	4937	1.44444444444
190_2.21	0.00575998178088	9.15752168122	111	4889	73	4927	1.52054794521
35_15.334	0.312378269149	8.06898165924	66	4934	54	4946	1.22222222222
75_11.249	0.00657797558828	7.77059773797	114	4886	76	4924	1.5
120_8.815	0.843095431149	8.4190966753	50	4950	53	4947	0.943396226415
88_10.751	0.00903529795013	8.24535775629	88	4912	56	4944	1.57142857143
4_20.445	1.0	8.33485568922	51	4949	51	4949	1.0
117_8.929	0.449274565598	8.33351244095	61	4939	52	4948	1.17307692308
128_8.532	0.449274565598	8.54739380184	61	4939	52	4948	1.17307692308
10_19.083	0.020865225912	8.27345220386	78	4922	51	4949	1.52941176471
113_9.067	0.268378372345	8.0693223894	66	4934	53	4947	1.24528301887
5_20.24	0.304264222785	8.20475696042	64	4936	52	4948	1.23076923077
170_5.4	0.0984617115441	8.47350930999	85	4915	64	4936	1.328125
67_12.117	0.0753124679389	8.21537815462	114	4886	88	4912	1.29545454545
77_11.075	0.0993009870761	8.21063358372	70	4930	51	4949	1.37254901961
1_23.126	0.0019984964908	7.79019403469	88	4912	51	4949	1.72549019608
127_8.575	0.00908753847883	8.24211576006	83	4917	52	4948	1.59615384615
160_5.996	0.00858054724666	8.43215540494	82	4918	51	4949	1.60784313725
182_3.2	0.308355556306	8.34713950086	65	4935	53	4947	1.22641509434
122_8.76	0.610982252474	8.65608992009	74	4926	67	4933	1.10447761194
139_7.774	0.404694414315	8.52205940426	64	4936	54	4946	1.18518518519
179_3.746	0.0653707967785	8.54954448565	77	4923	55	4945	1.4
60_12.33	0.348334089147	8.18946777558	63	4937	52	4948	1.21153846154
62_12.227	0.0367813449676	8.18777588941	86	4914	60	4940	1.43333333333
105_9.545	0.700247385923	8.37805019402	57	4943	52	4948	1.09615384615
130_8.474	0.556962252584	7.58762520514	76	4924	68	4932	1.11764705882
21_17.463	1.0	7.96684100965	52	4948	51	4949	1.01960784314
12_18.771	0.0490308467379	8.41623446121	75	4925	52	4948	1.44230769231
64_12.164	1.0	8.17379602828	52	4948	51	4949	1.01960784314
43_14.125	0.0573129340347	8.33536463033	73	4927	51	4949	1.43137254902
23_16.919	0.00794098520721	7.80273905894	96	4904	62	4938	1.54838709677
51_13.154	0.348334089147	8.11341176004	63	4937	52	4948	1.21153846154
98_10.083	0.0249572890555	8.90308268558	82	4918	55	4945	1.49090909091
84_10.949	0.00672692447372	8.32146244287	98	4902	63	4937	1.55555555556
69_11.858	0.920786042916	8.29095749227	50	4950	52	4948	0.961538461538
52_13.095	0.445263674263	7.80213252598	60	4940	51	4949	1.17647058824
176_4.194	0.107591652149	8.84235362843	73	4927	54	4946	1.35185185185
57_12.833	0.308355556306	9.14634604862	65	4935	53	4947	1.22641509434
161_5.962	0.0508110994652	9.05644863535	76	4924	53	4947	1.43396226415
107_9.396	0.40026840122	8.51118325977	93	4907	81	4919	1.14814814815
80_11.023	0.00384074772024	8.15366422608	93	4907	57	4943	1.63157894737
70_11.858	0.260292329042	8.59058328833	64	4936	51	4949	1.25490196078
140_7.763	0.453199436921	8.85114967417	62	4938	53	4947	1.16981132075
197_1.574	0.00804917476445	9.03934748083	91	4909	58	4942	1.56896551724
104_9.599	0.266637527227	8.07460997654	129	4871	111	4889	1.16216216216
13_18.629	0.00119182807842	7.94269581671	90	4910	51	4949	1.76470588235
56_12.961	0.10798089047	7.95801907385	81	4919	61	4939	1.32786885246
156_6.334	0.010784092944	8.10464523636	81	4919	51	4949	1.58823529412
32_15.844	0.502319146986	8.0227247716	59	4941	51	4949	1.1568627451
138_7.78	0.0573129340347	8.49186816619	73	4927	51	4949	1.43137254902
91_10.502	6.74284353125e-05	8.12425467837	103	4897	53	4947	1.94339622642
150_6.773	0.200178882785	8.48223879446	68	4932	53	4947	1.28301886792
131_8.441	0.118099951149	8.33911492243	69	4931	51	4949	1.35294117647
173_4.838	0.0240606841295	8.78290967529	87	4913	59	4941	1.47457627119
183_2.897	0.0917322824428	9.0715967654	82	4918	61	4939	1.34426229508
11_18.855	0.00858054724666	7.95795677561	82	4918	51	4949	1.60784313725
99_10.081	0.0317498174318	8.20675432819	82	4918	56	4944	1.46428571429
78_11.044	0.0023142656729	7.83734123282	90	4910	53	4947	1.69811320755
15_18.17	0.0374409471918	7.26815283724	107	4893	78	4922	1.37179487179
143_7.513	0.000409190731943	8.19046334882	115	4885	67	4933	1.71641791045
2_22.98	0.00330028745306	7.98636571284	86	4914	51	4949	1.6862745098
