MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
80_11.054	0.102073574191	8.37575612935	71	4929	52	4948	1.36538461538
191_2.682	0.0134961397908	7.75371622296	80	4920	51	4949	1.56862745098
21_16.287	0.760893591976	8.38368474613	47	4953	51	4949	0.921568627451
118_8.945	0.118331579028	8.21669264248	94	4906	73	4927	1.28767123288
110_9.358	0.073678344691	8.39215124908	74	4926	53	4947	1.39622641509
160_5.919	0.486196937508	9.80018125059	47	4953	55	4945	0.854545454545
41_13.708	0.0593168104506	7.7757816383	74	4926	52	4948	1.42307692308
37_14.326	0.283832551254	8.70588221915	70	4930	57	4943	1.22807017544
170_5.251	0.300102516218	8.55126835025	63	4937	51	4949	1.23529411765
103_9.859	0.260292329042	8.6905129019	64	4936	51	4949	1.25490196078
117_8.95	0.152768271705	8.71520964279	72	4928	55	4945	1.30909090909
90_10.456	0.0573129340347	8.38619769292	73	4927	51	4949	1.43137254902
169_5.254	0.0270952333205	8.07215443676	84	4916	57	4943	1.47368421053
84_10.866	0.104837384935	8.64505571515	72	4928	53	4947	1.35849056604
3_24.433	0.563561262591	8.45355565253	58	4942	51	4949	1.13725490196
140_7.68	0.073678344691	8.63736845385	74	4926	53	4947	1.39622641509
85_10.851	0.348334089147	8.54363500688	63	4937	52	4948	1.21153846154
88_10.695	0.0316907242088	7.87205189251	76	4924	51	4949	1.49019607843
166_5.578	0.276221792289	8.22907615781	68	4932	55	4945	1.23636363636
124_8.738	0.0157050174508	9.03984157637	83	4917	54	4946	1.53703703704
139_7.725	0.0906023663499	8.38443460773	74	4926	54	4946	1.37037037037
120_8.898	0.0194194330584	8.63219975079	82	4918	54	4946	1.51851851852
133_8.078	0.131223458954	8.11455400516	100	4900	79	4921	1.26582278481
65_11.902	0.073678344691	8.33899097463	74	4926	53	4947	1.39622641509
165_5.598	0.0316907242088	8.49308158757	76	4924	51	4949	1.49019607843
97_10.191	0.608336734646	8.08110906743	45	4955	51	4949	0.882352941176
96_10.275	0.850027755338	8.95474111778	55	4945	58	4942	0.948275862069
135_7.999	0.844559958741	8.85557575882	54	4946	51	4949	1.05882352941
145_7.424	0.0120116296709	8.63897528414	83	4917	53	4947	1.56603773585
181_4.059	0.394874507456	8.56765257527	91	4909	79	4921	1.15189873418
64_11.945	0.0387906168979	7.9432326099	75	4925	51	4949	1.47058823529
13_19.205	0.468388528456	8.78742549735	43	4957	51	4949	0.843137254902
136_7.965	0.00574568682347	7.61479472289	95	4905	60	4940	1.58333333333
155_6.302	0.185223953657	8.40759995296	73	4927	57	4943	1.28070175439
49_13.303	0.00778878837164	8.11434155591	101	4899	66	4934	1.5303030303
199_0.705	0.224945254573	9.16063454992	75	4925	60	4940	1.25
125_8.73	0.0240606841295	7.93614600719	87	4913	59	4941	1.47457627119
195_2.113	0.00275586191384	8.44463552983	107	4893	67	4933	1.59701492537
59_12.585	0.0134961397908	8.82304198331	80	4920	51	4949	1.56862745098
38_14.112	0.628769321416	8.78198238846	57	4943	51	4949	1.11764705882
161_5.848	0.136763053879	8.5502651044	93	4907	73	4927	1.27397260274
71_11.466	0.0855908477931	8.43444827295	72	4928	52	4948	1.38461538462
1_26.053	0.00330028745306	7.85677902028	86	4914	51	4949	1.6862745098
154_6.341	0.16807043351	8.98728140877	68	4932	52	4948	1.30769230769
153_6.38	0.550712524517	8.7517089009	96	4904	87	4913	1.10344827586
76_11.283	0.0316907242088	8.59160630679	76	4924	51	4949	1.49019607843
6_20.538	0.360436456028	7.95632305444	66	4934	55	4945	1.2
190_2.736	0.00324484955084	8.56646605243	110	4890	70	4930	1.57142857143
142_7.535	0.0367735864783	8.07018394756	129	4871	97	4903	1.32989690722
131_8.17	0.12113522114	8.25598655258	70	4930	52	4948	1.34615384615
119_8.917	0.00377840068322	8.3498859527	88	4912	53	4947	1.66037735849
45_13.513	0.16807043351	7.32262025522	68	4932	52	4948	1.30769230769
175_4.956	0.195926482725	8.27243606826	97	4903	79	4921	1.22784810127
31_14.807	0.146310981261	8.19449486309	70	4930	53	4947	1.32075471698
19_16.847	0.0072644432137	7.72819154571	105	4895	69	4931	1.52173913043
196_2.01	0.0118092898905	7.62890369082	117	4883	81	4919	1.44444444444
108_9.566	0.112879243047	8.5541889563	83	4917	63	4937	1.31746031746
116_8.955	0.360436456028	8.39801477607	66	4934	55	4945	1.2
94_10.333	0.539814332969	8.55098075945	70	4930	62	4938	1.12903225806
174_5.015	0.0934802132138	8.50551458761	108	4892	84	4916	1.28571428571
141_7.625	0.168463352031	8.31252574167	77	4923	60	4940	1.28333333333
189_2.864	0.844559958741	9.27200926394	51	4949	54	4946	0.944444444444
123_8.834	0.705285531922	8.18044906541	59	4941	54	4946	1.09259259259
30_14.909	0.312378269149	8.35693745827	66	4934	54	4946	1.22222222222
102_9.868	0.00154623815104	8.29650931091	89	4911	51	4949	1.74509803922
34_14.58	0.0515262190706	8.29349313226	83	4917	59	4941	1.40677966102
78_11.149	0.00722034771774	8.41143329611	84	4916	52	4948	1.61538461538
23_15.9	0.000444790971183	8.25107984725	95	4905	52	4948	1.82692307692
149_6.693	0.370672556516	7.89091438438	98	4902	85	4915	1.15294117647
12_19.38	0.697627894352	8.36907215677	56	4944	51	4949	1.09803921569
127_8.499	0.171568431133	8.65326686637	69	4931	53	4947	1.30188679245
101_9.874	0.00037057313734	7.91941339132	97	4903	53	4947	1.83018867925
14_18.584	0.0993009870761	8.09414586755	70	4930	51	4949	1.37254901961
69_11.573	0.12715632991	7.93682589523	72	4928	54	4946	1.33333333333
194_2.214	0.0375941684463	8.4063209369	130	4870	98	4902	1.32653061224
9_19.806	0.232378456786	8.30440506981	67	4933	53	4947	1.2641509434
98_10.19	0.37189816541	8.0811071235	69	4931	58	4942	1.18965517241
146_7.235	0.0355052206424	8.61278750842	85	4915	59	4941	1.4406779661
150_6.691	0.0101775265445	8.7011346323	113	4887	77	4923	1.46753246753
17_17.589	0.0459958516234	7.88011996687	93	4907	67	4933	1.38805970149
113_9.223	0.0269365889694	8.18673238118	78	4922	52	4948	1.5
99_10.147	0.0218637918727	8.58719891795	79	4921	52	4948	1.51923076923
172_5.117	0.130141067844	8.47780128385	73	4927	55	4945	1.32727272727
86_10.823	0.164538738449	8.55354076378	67	4933	51	4949	1.3137254902
173_5.042	0.24582922997	8.69582756826	93	4907	77	4923	1.20779220779
29_15.112	0.139753826837	8.57199435106	68	4932	51	4949	1.33333333333
77_11.204	0.136056587692	7.18383579053	75	4925	57	4943	1.31578947368
75_11.297	0.920009826935	8.57114939543	49	4951	51	4949	0.960784313725
111_9.316	0.15051459429	7.74179110986	80	4920	62	4938	1.29032258065
16_17.965	0.011390260843	7.91498716766	82	4918	52	4948	1.57692307692
44_13.642	4.47803604954e-05	7.5382985694	103	4897	52	4948	1.98076923077
143_7.526	0.0804538024094	8.10635074611	77	4923	56	4944	1.375
138_7.853	0.637841406957	8.50848085416	60	4940	54	4946	1.11111111111
128_8.469	0.201098758092	8.73162534059	38	4962	51	4949	0.745098039216
163_5.826	0.221529787049	8.87338680593	74	4926	59	4941	1.25423728814
186_3.414	0.00338518705091	8.89839418193	91	4909	55	4945	1.65454545455
183_3.719	0.000900713707946	8.69831285632	95	4905	54	4946	1.75925925926
67_11.762	0.0548066123842	8.21102946476	85	4915	61	4939	1.39344262295
54_12.823	0.0613283829388	8.08735643801	75	4925	53	4947	1.41509433962
25_15.73	0.0613283829388	8.48163096723	75	4925	53	4947	1.41509433962
51_13.053	0.0269365889694	7.98775062765	78	4922	52	4948	1.5
48_13.329	1.0974177438e-05	7.4300398656	116	4884	58	4942	2.0
115_9.021	0.203841839302	8.32351029813	69	4931	54	4946	1.27777777778
176_4.749	0.0194198807655	8.02097890425	126	4874	91	4909	1.38461538462
83_10.908	0.139753826837	7.87875480355	68	4932	51	4949	1.33333333333
105_9.763	0.0132473203441	7.73165721755	96	4904	64	4936	1.5
132_8.088	0.402931574424	8.43197080187	78	4922	67	4933	1.16417910448
35_14.514	0.00680210831956	7.61265797889	93	4907	59	4941	1.57627118644
62_12.219	0.924350283664	8.58927009127	55	4945	57	4943	0.964912280702
89_10.689	0.692172792918	8.66798585815	49	4951	54	4946	0.907407407407
106_9.733	0.760893591976	7.64710055602	47	4953	51	4949	0.921568627451
192_2.431	0.0179352915287	8.59301935445	110	4890	77	4923	1.42857142857
5_21.506	0.312378269149	8.237666441	66	4934	54	4946	1.22222222222
46_13.408	0.0120116296709	7.65019321431	83	4917	53	4947	1.56603773585
57_12.614	0.0118306155436	8.55929165801	88	4912	57	4943	1.54385964912
4_21.973	0.360436456028	7.90380878601	66	4934	55	4945	1.2
162_5.83	0.449274565598	8.64437664513	61	4939	52	4948	1.17307692308
197_1.877	0.188554184899	9.04417108536	74	4926	58	4942	1.27586206897
92_10.367	0.0250303421367	8.18965185222	88	4912	60	4940	1.46666666667
10_19.758	0.022879056052	7.82402389703	80	4920	53	4947	1.50943396226
185_3.524	0.00856256840077	8.71781971958	87	4913	55	4945	1.58181818182
36_14.492	0.502319146986	8.49357158132	59	4941	51	4949	1.1568627451
152_6.481	0.362374880154	8.0624533894	111	4889	97	4903	1.14432989691
107_9.59	0.146310981261	7.88578975333	70	4930	53	4947	1.32075471698
144_7.489	0.124154207669	8.11901336907	71	4929	53	4947	1.33962264151
43_13.658	0.123881222545	7.91405298036	79	4921	60	4940	1.31666666667
93_10.355	0.00644262750855	8.81482461508	92	4908	58	4942	1.58620689655
60_12.354	0.00364744362056	7.80011193681	97	4903	60	4940	1.61666666667
129_8.329	0.0906023663499	7.81905886736	74	4926	54	4946	1.37037037037
24_15.87	0.921539788681	8.37761066256	53	4947	51	4949	1.03921568627
180_4.168	0.0048468079049	8.76709423694	92	4908	57	4943	1.61403508772
100_9.996	0.0691714139977	8.87254280967	72	4928	51	4949	1.41176470588
47_13.334	0.00135749091235	8.31092991954	96	4904	56	4944	1.71428571429
126_8.547	0.300102516218	8.37221476266	63	4937	51	4949	1.23529411765
18_17.146	0.769726020969	8.82450167512	55	4945	51	4949	1.07843137255
167_5.533	0.0249572890555	8.6138703626	82	4918	55	4945	1.49090909091
151_6.566	0.218074255626	8.26537726905	73	4927	58	4942	1.25862068966
33_14.639	0.168463352031	7.53500574317	77	4923	60	4940	1.28333333333
66_11.888	2.48117949246e-17	8.43439144715	178	4822	53	4947	3.35849056604
137_7.882	0.563561262591	8.90592253417	58	4942	51	4949	1.13725490196
2_24.694	0.16807043351	8.30371307436	68	4932	52	4948	1.30769230769
193_2.237	0.0342408508872	8.61197831005	84	4916	58	4942	1.44827586207
114_9.077	0.224945254573	8.64955611913	75	4925	60	4940	1.25
81_11.008	0.011390260843	8.52332867538	82	4918	52	4948	1.57692307692
20_16.834	0.000281269510617	8.37406257868	98	4902	53	4947	1.84905660377
63_12.066	0.0691714139977	8.24683297502	72	4928	51	4949	1.41176470588
26_15.655	0.00510764634415	8.35776725651	88	4912	54	4946	1.62962962963
121_8.878	0.00125987442502	8.56908374235	95	4905	55	4945	1.72727272727
158_6.134	0.0999749224228	8.25465900697	94	4906	72	4928	1.30555555556
27_15.153	0.000900713707946	7.72823014949	95	4905	54	4946	1.75925925926
177_4.59	0.0796342904091	8.96280690978	84	4916	62	4938	1.35483870968
164_5.741	0.115314763179	8.44788920274	84	4916	64	4936	1.3125
112_9.274	0.0708880845975	8.13765062266	87	4913	64	4936	1.359375
148_7.139	0.392524720092	8.30438443295	61	4939	51	4949	1.19607843137
179_4.324	1.0	9.32095546638	53	4947	52	4948	1.01923076923
68_11.741	0.769726020969	8.5314770639	55	4945	51	4949	1.07843137255
22_15.978	0.139753826837	8.2666102709	68	4932	51	4949	1.33333333333
188_3.128	0.0203184891888	8.56791001099	83	4917	55	4945	1.50909090909
184_3.585	0.0438513528267	8.46581099853	121	4879	91	4909	1.32967032967
104_9.794	0.0139638973028	7.9754577983	86	4914	56	4944	1.53571428571
159_5.92	0.362363230979	8.38538351234	80	4920	68	4932	1.17647058824
53_12.86	0.0614445906098	8.46358636725	89	4911	65	4935	1.36923076923
130_8.287	0.577048095501	8.38577960219	62	4938	55	4945	1.12727272727
56_12.722	0.000190209521818	7.91865708423	118	4882	67	4933	1.76119402985
42_13.67	0.00672692447372	7.98223166361	98	4902	63	4937	1.55555555556
87_10.71	0.304264222785	9.01643020016	64	4936	52	4948	1.23076923077
74_11.323	0.196473143787	8.53100284001	67	4933	52	4948	1.28846153846
134_8.075	0.0738917156912	7.49445469921	113	4887	87	4913	1.29885057471
7_20.534	0.0993009870761	8.79032472277	70	4930	51	4949	1.37254901961
0_31.299	0.124154207669	8.64548549771	71	4929	53	4947	1.33962264151
122_8.867	0.0759357210941	8.11132090226	75	4925	54	4946	1.38888888889
52_12.999	0.152768271705	8.29188364805	72	4928	55	4945	1.30909090909
58_12.588	0.164538738449	8.1750271823	67	4933	51	4949	1.3137254902
171_5.167	0.628769321416	8.63161053477	57	4943	51	4949	1.11764705882
178_4.368	0.00215282462139	7.82233718714	89	4911	52	4948	1.71153846154
39_14.062	0.0993009870761	8.11082838276	70	4930	51	4949	1.37254901961
82_10.945	0.0168176505409	8.03782936477	79	4921	51	4949	1.54901960784
157_6.208	0.180552939489	8.77049593248	81	4919	64	4936	1.265625
198_0.967	0.138986594092	8.90254623904	76	4924	58	4942	1.31034482759
11_19.529	0.920009826935	8.64792562388	49	4951	51	4949	0.960784313725
147_7.23	0.0613283829388	8.65057146367	75	4925	53	4947	1.41509433962
70_11.52	0.020865225912	8.29880975585	78	4922	51	4949	1.52941176471
32_14.722	1.95333899619e-19	8.17757331725	185	4815	51	4949	3.62745098039
73_11.403	0.00174284661837	8.08325146938	95	4905	56	4944	1.69642857143
