MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
83_11.355	0.00330028745306	8.29189833008	86	4914	51	4949	1.6862745098
170_6.052	0.0271482956669	8.28236228542	103	4897	73	4927	1.41095890411
115_9.798	1.0	8.08674168324	51	4949	51	4949	1.0
48_13.553	0.0248959821281	8.60317428811	94	4906	65	4935	1.44615384615
6_23.49	0.360436456028	8.10005683818	66	4934	55	4945	1.2
99_10.663	4.00332315515e-05	7.64793628295	113	4887	59	4941	1.91525423729
81_11.441	0.0260190846354	8.53430897413	83	4917	56	4944	1.48214285714
10_20.411	0.00858054724666	7.79525780318	82	4918	51	4949	1.60784313725
199_1.186	0.570465462472	8.88118863149	60	4940	53	4947	1.1320754717
68_12.084	0.0403405878219	8.53387129864	76	4924	52	4948	1.46153846154
172_5.942	0.00765493450422	7.80343038152	85	4915	53	4947	1.60377358491
158_6.995	0.773785570022	9.29304624216	57	4943	53	4947	1.07547169811
171_5.962	0.0906023663499	8.51544636334	74	4926	54	4946	1.37037037037
197_2.216	0.859408037413	8.83639905742	66	4934	63	4937	1.04761904762
141_8.181	0.580226430455	7.76913946385	63	4937	56	4944	1.125
29_16.149	0.124154207669	8.47651799076	71	4929	53	4947	1.33962264151
188_3.913	0.32781629919	8.47050450056	70	4930	58	4942	1.20689655172
53_13.236	0.0168176505409	8.33397584838	79	4921	51	4949	1.54901960784
94_10.957	0.0109207333473	8.27656707938	134	4866	95	4905	1.41052631579
184_4.588	0.00248287812754	7.77022079961	91	4909	54	4946	1.68518518519
178_5.428	0.526426108202	8.33099800749	108	4892	98	4902	1.10204081633
22_16.965	0.453199436921	8.20280236814	62	4938	53	4947	1.16981132075
15_19.0	0.00679877764883	8.06116144016	83	4917	51	4949	1.62745098039
90_11.032	0.00874960323555	7.48775870226	98	4902	64	4936	1.53125
85_11.275	0.124154207669	8.44181916711	71	4929	53	4947	1.33962264151
104_10.423	0.271816323095	8.59057934528	78	4922	64	4936	1.21875
16_18.964	0.445263674263	8.09338286536	60	4940	51	4949	1.17647058824
61_12.457	0.000162478263566	7.83245455812	104	4896	56	4944	1.85714285714
12_20.057	0.0653498729167	7.93031589899	84	4916	61	4939	1.37704918033
139_8.318	0.300102516218	8.79564738581	63	4937	51	4949	1.23529411765
106_10.264	0.118099951149	8.43491579605	69	4931	51	4949	1.35294117647
14_19.431	0.640718720459	8.1635772742	61	4939	55	4945	1.10909090909
181_5.058	0.304264222785	8.87212616993	64	4936	52	4948	1.23076923077
9_21.387	0.0548066123842	7.49322492992	85	4915	61	4939	1.39344262295
30_16.125	0.192724246933	8.05897521746	66	4934	51	4949	1.29411764706
146_7.986	0.206096694183	8.03006349928	39	4961	52	4948	0.75
138_8.337	0.0855908477931	8.67685753179	72	4928	52	4948	1.38461538462
163_6.522	0.348334089147	8.72378709538	63	4937	52	4948	1.21153846154
58_12.969	0.0139638973028	8.35857568575	86	4914	56	4944	1.53571428571
143_8.083	0.224945254573	8.16720973087	75	4925	60	4940	1.25
8_21.514	0.0403405878219	8.70875674729	76	4924	52	4948	1.46153846154
88_11.148	0.497576642851	8.30285621867	75	4925	66	4934	1.13636363636
31_16.104	0.192724246933	7.88367748839	66	4934	51	4949	1.29411764706
23_16.79	0.628769321416	8.52390713943	57	4943	51	4949	1.11764705882
28_16.154	0.0593168104506	8.61186001117	74	4926	52	4948	1.42307692308
79_11.517	9.3937214615e-08	7.71336291472	141	4859	65	4935	2.16923076923
65_12.26	0.00606369065801	8.18541867272	96	4904	61	4939	1.5737704918
117_9.693	0.00338518705091	8.02783840121	91	4909	55	4945	1.65454545455
192_2.615	0.0699899940321	8.89608266386	102	4898	77	4923	1.32467532468
164_6.464	0.0492957354307	7.88462094676	135	4865	104	4896	1.29807692308
13_19.656	0.0280137813389	7.45657910125	91	4909	63	4937	1.44444444444
128_8.921	1.0	8.27870637686	53	4947	53	4947	1.0
132_8.706	0.348334089147	8.86148947101	63	4937	52	4948	1.21153846154
20_17.695	0.0316907242088	8.34631482317	76	4924	51	4949	1.49019607843
4_25.116	1.49438519608e-05	7.60954077434	108	4892	53	4947	2.03773584906
110_10.18	0.268842825073	8.49352511476	44	4956	56	4944	0.785714285714
174_5.867	0.551464414808	8.86059561847	74	4926	66	4934	1.12121212121
179_5.42	0.0203184891888	8.57296054562	83	4917	55	4945	1.50909090909
103_10.445	0.0613283829388	8.66384545789	75	4925	53	4947	1.41509433962
86_11.208	0.257009331251	7.65944634043	85	4915	70	4930	1.21428571429
193_2.489	0.0508110994652	8.40462989483	76	4924	53	4947	1.43396226415
173_5.921	0.00707463877448	8.75417778673	110	4890	73	4927	1.50684931507
3_27.201	3.8647901803e-135	9.11673047162	628	4372	51	4949	12.3137254902
180_5.392	0.478497497852	8.3573709195	69	4931	60	4940	1.15
74_11.82	0.0419042362965	8.39618336653	77	4923	53	4947	1.45283018868
98_10.715	0.00456986361451	8.30834459171	117	4883	77	4923	1.51948051948
73_11.829	0.840035810226	7.66713343907	48	4952	51	4949	0.941176470588
108_10.223	0.298394223049	8.67977998237	74	4926	61	4939	1.2131147541
130_8.902	0.15051459429	8.68168755627	80	4920	62	4938	1.29032258065
54_13.114	0.502319146986	8.24668083633	59	4941	51	4949	1.1568627451
121_9.199	0.224565165378	8.42589873216	65	4935	51	4949	1.27450980392
24_16.63	0.000257239156756	7.80134169552	101	4899	55	4945	1.83636363636
97_10.861	0.133107957699	8.83321559509	74	4926	56	4944	1.32142857143
145_7.994	0.000533886934642	8.27320432489	93	4907	51	4949	1.82352941176
95_10.948	0.12113522114	8.43592770095	70	4930	52	4948	1.34615384615
118_9.586	0.00606369065801	7.85694114517	96	4904	61	4939	1.5737704918
165_6.397	0.408592025246	9.35182159754	65	4935	55	4945	1.18181818182
160_6.878	0.00265871241867	9.42219994699	92	4908	55	4945	1.67272727273
1_30.942	4.73108916647e-208	9.13469873318	866	4134	51	4949	16.9803921569
93_10.98	0.517002173794	8.616846495	63	4937	55	4945	1.14545454545
7_22.746	0.00858054724666	7.81214779056	82	4918	51	4949	1.60784313725
112_9.933	0.07142325795	8.3443577686	73	4927	52	4948	1.40384615385
190_3.664	0.294833406155	9.05654146307	73	4927	60	4940	1.21666666667
27_16.198	0.00499975816718	8.78851889452	108	4892	70	4930	1.54285714286
