MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
150_9.201	0.0137908172402	8.63144466255	281	19719	225	19775	1.24888888889
3_32.602	0.00131417771942	8.146119693	284	19716	212	19788	1.33962264151
169_7.379	0.00600732860172	8.8953775828	290	19710	227	19773	1.27753303965
159_8.453	0.0386279087705	8.73504131418	310	19690	260	19740	1.19230769231
20_23.353	0.0124697416318	8.19383484456	255	19745	201	19799	1.26865671642
171_7.096	0.813460095469	8.38465478212	230	19770	224	19776	1.02678571429
122_11.563	0.164399016872	7.96108192823	235	19765	205	19795	1.14634146341
104_12.685	0.00347233631606	8.27363583155	364	19636	289	19711	1.25951557093
118_11.746	0.461893728544	8.69339407774	218	19782	202	19798	1.07920792079
178_6.588	0.0964745422716	8.77654365813	256	19744	219	19781	1.16894977169
35_20.245	0.920254906747	8.53010053341	200	19800	203	19797	0.985221674877
13_25.118	0.00080498224842	8.36449268233	278	19722	204	19796	1.36274509804
161_8.257	0.490751877177	8.35350832534	216	19784	201	19799	1.07462686567
144_9.61	0.000715433859009	8.1050164789	433	19567	339	19661	1.27728613569
184_5.68	0.186205364627	8.40254791872	354	19646	319	19681	1.10971786834
143_9.672	0.27904360161	8.71195173202	179	19821	201	19799	0.890547263682
50_17.693	0.469129550856	8.08069124936	225	19775	209	19791	1.07655502392
190_4.92	0.396075634621	8.80508206344	237	19763	218	19782	1.0871559633
110_12.246	0.0113826462623	8.13878385659	380	19620	313	19687	1.21405750799
181_5.95	0.0602870340323	8.5679514054	250	19750	209	19791	1.1961722488
166_7.62	0.732868791914	9.20618543086	274	19726	283	19717	0.968197879859
37_19.633	0.268034904231	8.45814108965	230	19770	206	19794	1.11650485437
16_24.344	0.014653097622	7.53586682294	266	19734	212	19788	1.25471698113
29_21.307	0.0925360087486	7.70776413002	237	19763	201	19799	1.17910447761
163_8.205	0.148938870226	8.36961366134	234	19766	203	19797	1.15270935961
66_15.752	0.178960692398	8.40750428707	234	19766	205	19795	1.14146341463
21_22.952	0.112750112269	7.63393049715	236	19764	202	19798	1.16831683168
86_14.018	0.000651175811512	8.15465418956	291	19709	214	19786	1.35981308411
63_16.094	0.000323369977418	7.9949545515	299	19701	217	19783	1.37788018433
12_25.288	0.00736202771235	7.83610522179	267	19733	208	19792	1.28365384615
170_7.216	0.446057320588	7.93647737563	261	19739	243	19757	1.07407407407
179_6.185	0.298303839373	8.41672298797	331	19669	304	19696	1.08881578947
55_16.939	0.0708385048446	8.21156941194	256	19744	216	19784	1.18518518519
53_17.108	9.41048374839e-08	7.91092604743	390	19610	255	19745	1.52941176471
180_6.02	0.246219620768	8.42297511855	380	19620	348	19652	1.09195402299
24_22.389	0.00735022548532	8.08431580413	383	19617	312	19688	1.22756410256
174_6.791	1.0	8.17920914941	202	19798	201	19799	1.00497512438
125_11.333	0.0400170430141	8.77315337655	255	19745	210	19790	1.21428571429
165_7.884	0.112750112269	8.18660898829	236	19764	202	19798	1.16831683168
88_13.647	0.276582252139	8.05469936312	238	19762	214	19786	1.11214953271
123_11.467	7.63753906087e-05	7.9628873961	309	19691	218	19782	1.41743119266
121_11.62	0.0693268148047	8.27076810615	241	19759	202	19798	1.19306930693
84_14.101	0.161630497662	8.63314171903	248	19752	217	19783	1.14285714286
9_26.564	0.0343667347123	8.32301623185	263	19737	216	19784	1.21759259259
97_13.242	4.30364647991e-05	7.98771471327	304	19696	211	19789	1.44075829384
129_10.557	0.000131838349804	8.32850898036	288	19712	203	19797	1.41871921182
196_2.765	0.228604080657	8.99171246382	231	19769	205	19795	1.12682926829
62_16.141	0.694449642094	8.0144686936	214	19786	205	19795	1.04390243902
103_12.792	0.0131645123094	7.96687720912	268	19732	213	19787	1.25821596244
167_7.56	0.478480304921	7.97084365287	438	19562	460	19540	0.952173913043
0_41.531	0.491777630979	8.41612572227	217	19783	202	19798	1.07425742574
153_8.772	0.0185583281507	8.56825287335	254	19746	203	19797	1.25123152709
46_18.56	0.093273394232	8.08224470227	238	19762	202	19798	1.17821782178
126_11.254	0.00438267755714	8.37079328266	315	19685	247	19753	1.27530364372
39_19.201	0.000107647943902	8.41837410285	288	19712	202	19798	1.42574257426
15_24.597	0.920449314267	8.410800082	201	19799	204	19796	0.985294117647
183_5.689	1.0	9.22360105571	211	19789	211	19789	1.0
42_18.846	8.58425441796e-05	7.96380250146	367	19633	268	19732	1.36940298507
194_4.2	0.714742719972	8.1380390103	387	19613	376	19624	1.02925531915
116_11.853	0.0625966442928	8.06158996279	348	19652	300	19700	1.16
65_15.867	0.000128199209248	7.99927987594	300	19700	213	19787	1.40845070423
124_11.418	0.0261998727119	8.23682595239	282	19718	231	19769	1.22077922078
23_22.426	7.53232050327e-05	7.27295103099	376	19624	275	19725	1.36727272727
137_10.225	0.242683587106	8.10884546852	328	19672	298	19702	1.10067114094
135_10.29	0.0558757137659	7.96136653448	242	19758	201	19799	1.2039800995
168_7.498	0.0463175343135	8.06664855674	402	19598	347	19653	1.15850144092
51_17.65	0.0307007417829	8.82431646915	253	19747	206	19794	1.22815533981
7_28.012	0.0013914348602	7.58862177165	279	19721	208	19792	1.34134615385
4_31.982	0.0034220323232	7.96886682378	267	19733	203	19797	1.31527093596
30_21.022	2.76724724497e-09	8.37542788896	341	19659	203	19797	1.67980295567
108_12.358	0.044250611654	8.10766353735	301	19699	253	19747	1.18972332016
151_8.924	3.01664546158e-05	8.25341538681	294	19706	201	19799	1.46268656716
99_13.089	0.0620091729298	8.96263154092	241	19759	201	19799	1.19900497512
133_10.346	0.00513066183428	8.5138334418	307	19693	241	19759	1.27385892116
89_13.643	0.0431891404317	9.00024967946	286	19714	239	19761	1.19665271967
189_5.047	0.84732126201	8.90346114853	346	19654	340	19660	1.01764705882
17_24.277	0.264756305407	8.54523409131	227	19773	203	19797	1.11822660099
102_12.883	0.010263879509	8.31685784231	308	19692	247	19753	1.24696356275
148_9.417	0.272343672905	8.77477321467	234	19766	210	19790	1.11428571429
199_2.475	0.239454833735	9.21357697619	281	19719	253	19747	1.11067193676
113_12.119	0.522741532698	8.74824668824	216	19784	202	19798	1.06930693069
92_13.345	4.30088783441e-05	8.19900670243	342	19658	243	19757	1.40740740741
38_19.392	0.292128821331	8.48762767133	232	19768	209	19791	1.11004784689
5_30.928	0.00140668543314	8.50821564456	272	19728	202	19798	1.34653465347
69_15.647	0.137646607053	8.09618430374	410	19590	368	19632	1.11413043478
75_14.689	0.555688344322	8.69862010856	216	19784	203	19797	1.06403940887
82_14.134	3.14437844315e-09	7.89571217507	352	19648	212	19788	1.66037735849
98_13.113	0.00326586846705	8.40305357318	306	19694	237	19763	1.29113924051
32_20.812	0.00104723392087	8.32378770206	289	19711	215	19785	1.34418604651
26_21.915	0.353601738278	8.06341880946	222	19778	202	19798	1.09900990099
91_13.549	0.629009352097	8.54474304871	222	19778	211	19789	1.05213270142
47_18.478	0.0289138857161	8.3319768406	248	19752	201	19799	1.23383084577
115_11.886	0.28331504264	8.51954392458	224	19776	201	19799	1.1144278607
2_34.492	0.000655046879348	7.58834765423	277	19723	202	19798	1.37128712871
79_14.235	0.84206673449	8.48085351508	206	19794	201	19799	1.02487562189
45_18.719	0.000418432555732	8.15996663058	281	19719	203	19797	1.3842364532
111_12.221	0.0323992455471	8.45674792885	247	19753	201	19799	1.22885572139
74_14.788	0.00118215262148	8.2522970504	342	19658	262	19738	1.30534351145
164_7.921	0.470139510941	8.67724664715	226	19774	210	19790	1.07619047619
90_13.64	0.882477328175	8.88032393897	210	19790	206	19794	1.01941747573
105_12.636	0.207915814282	8.86209302093	229	19771	202	19798	1.13366336634
141_9.749	0.0507809672147	8.48105514585	244	19756	202	19798	1.20792079208
1_38.197	4.05893332974e-07	8.03308105046	316	19684	201	19799	1.57213930348
156_8.638	0.0686325635292	8.70509671484	278	19722	236	19764	1.17796610169
56_16.905	0.16154019485	8.53672318295	232	19768	202	19798	1.14851485149
128_10.653	0.0459088092522	8.54166233558	257	19743	213	19787	1.20657276995
127_11.146	0.0895153766814	7.92632622623	246	19754	209	19791	1.17703349282
187_5.268	0.389711160454	8.64661957471	257	19743	237	19763	1.08438818565
43_18.823	0.276582252139	8.08309623159	238	19762	214	19786	1.11214953271
67_15.743	0.359148082063	8.24573282368	227	19773	207	19793	1.09661835749
57_16.895	0.000902415826803	7.78316805323	290	19710	215	19785	1.3488372093
198_2.577	0.00651173789488	8.60324148676	383	19617	311	19689	1.23151125402
22_22.445	0.436332439646	8.53884605566	222	19778	205	19795	1.08292682927
109_12.301	0.391928143871	8.32686297585	233	19767	214	19786	1.08878504673
48_18.448	0.00119470005018	7.90693762523	412	19588	324	19676	1.27160493827
155_8.728	0.0482986763358	7.83379435093	487	19513	427	19573	1.14051522248
6_29.711	0.959929846464	8.22267749956	199	19801	201	19799	0.990049751244
130_10.537	0.171917641428	8.60540103109	243	19757	213	19787	1.14084507042
145_9.58	0.23134315259	8.02820947271	313	19687	283	19717	1.10600706714
158_8.529	0.262547802517	6.79103159825	225	19775	201	19799	1.11940298507
70_15.639	0.00019591140973	8.81133244961	308	19692	222	19778	1.38738738739
78_14.441	0.049009893265	8.56302782842	252	19748	209	19791	1.20574162679
14_25.117	0.00349052675864	8.03266959969	268	19732	204	19796	1.3137254902
142_9.704	0.310797355998	8.63498192422	228	19772	206	19794	1.1067961165
134_10.329	0.000531421429422	8.99132513199	283	19717	206	19794	1.37378640777
152_8.891	0.00297379989607	8.97256828476	276	19724	210	19790	1.31428571429
172_6.961	0.0274115496266	8.57711554646	254	19746	206	19794	1.23300970874
52_17.405	0.0569745328718	7.71740514475	244	19756	203	19797	1.20197044335
173_6.868	0.582974056107	8.08043867872	323	19677	338	19662	0.955621301775
72_15.19	1.87333808415e-06	8.31236943681	311	19689	203	19797	1.53201970443
177_6.641	0.175751626525	8.28518592939	338	19662	303	19697	1.11551155116
54_17.043	0.286656472126	8.47030555253	227	19773	204	19796	1.11274509804
28_21.464	6.17541143146e-05	8.42640344986	290	19710	201	19799	1.44278606965
83_14.124	0.00406707133735	8.22665545001	276	19724	212	19788	1.30188679245
33_20.375	0.55381006644	8.50112910393	214	19786	201	19799	1.06467661692
131_10.513	0.0745475245908	8.32930945127	303	19697	260	19740	1.16538461538
117_11.751	0.811844837269	8.13702575029	226	19774	220	19780	1.02727272727
176_6.714	0.968833659156	8.7415349617	334	19666	332	19668	1.00602409639
138_10.21	0.0195914424733	8.68315608592	268	19732	216	19784	1.24074074074
107_12.393	2.78344997955e-06	8.47726680799	331	19669	221	19779	1.49773755656
182_5.741	1.0	8.97740944564	201	19799	201	19799	1.0
85_14.071	0.578109307456	8.18184584898	242	19758	229	19771	1.05676855895
59_16.669	0.0287543770357	7.80767346622	258	19742	210	19790	1.22857142857
58_16.702	0.472527103776	8.16803466608	293	19707	275	19725	1.06545454545
80_14.171	0.00128493211156	8.36042705017	283	19717	211	19789	1.34123222749
68_15.726	0.243989208019	8.37706614152	227	19773	202	19798	1.12376237624
93_13.32	0.000989550327761	8.36838328596	294	19706	219	19781	1.34246575342
41_18.865	0.00531750703884	8.19375468147	274	19726	212	19788	1.29245283019
64_15.901	0.169389705517	8.77873219296	181	19819	209	19791	0.866028708134
25_22.309	0.00434451257182	8.25560309884	263	19737	201	19799	1.30845771144
77_14.517	0.000182445898889	8.09888378123	326	19674	237	19763	1.37552742616
95_13.282	0.462085049663	8.06881753818	248	19752	231	19769	1.07359307359
162_8.243	0.340004266296	8.27684562053	334	19666	309	19691	1.08090614887
10_25.874	0.329924362449	8.5477857368	182	19818	202	19798	0.90099009901
87_13.669	1.0	8.52104900302	205	19795	205	19795	1.0
132_10.384	5.61874831226e-06	8.26765384749	320	19680	215	19785	1.48837209302
18_23.763	2.10321940562e-05	7.76058761007	302	19698	206	19794	1.46601941748
76_14.546	0.0126617564272	7.96086930294	256	19744	202	19798	1.26732673267
73_14.84	0.0209093437424	8.80282472831	253	19747	203	19797	1.24630541872
19_23.464	0.111936038963	8.04099254397	235	19765	201	19799	1.16915422886
27_21.783	0.138939640545	8.4901213901	238	19762	206	19794	1.15533980583
149_9.293	0.147093226803	8.30297234795	232	19768	201	19799	1.15422885572
191_4.694	0.700789156347	8.3225654718	350	19650	339	19661	1.03244837758
160_8.393	0.11599643319	8.21147869695	240	19760	206	19794	1.16504854369
11_25.334	1.0	9.12313566695	209	19791	210	19790	0.995238095238
157_8.576	0.0413795838788	8.86957414754	247	19753	203	19797	1.21674876847
49_17.712	0.406565073647	8.29654860189	221	19779	203	19797	1.08866995074
146_9.529	0.263654347972	8.38789575545	226	19774	202	19798	1.11881188119
186_5.575	0.410909889869	8.29748439325	252	19748	233	19767	1.08154506438
96_13.255	0.000662897372491	7.74092357526	299	19701	221	19779	1.35294117647
106_12.527	0.104184093514	8.54111055045	239	19761	204	19796	1.17156862745
36_19.774	0.00602343268664	8.75307314346	264	19736	204	19796	1.29411764706
140_9.783	0.251502539313	8.49480742352	234	19766	209	19791	1.11961722488
71_15.581	0.0603838018104	7.54509520174	275	19725	232	19768	1.18534482759
136_10.244	0.125530263409	9.04959672274	267	19733	232	19768	1.15086206897
81_14.151	0.0292686375221	8.03047605105	249	19751	202	19798	1.23267326733
60_16.565	5.62545311365e-10	7.88048882015	349	19651	204	19796	1.71078431373
195_3.76	0.0999338293459	8.98712174242	353	19647	310	19690	1.13870967742
