MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
17_9.576	0.503831144952	7.82733159503	6	244	3	247	2.0
56_5.766	0.0539661281468	8.23003957637	11	239	3	247	3.66666666667
122_1.261	0.0325177385818	7.89864011611	12	238	3	247	4.0
121_1.276	0.221364732468	8.66386998575	8	242	3	247	2.66666666667
21_9.408	0.11294919945	7.90252868575	11	239	4	246	2.75
89_2.721	0.724350636085	9.16399264658	5	245	3	247	1.66666666667
120_1.322	0.141138083578	8.58393601924	9	241	3	247	3.0
31_8.127	0.338778369003	7.49103199166	7	243	3	247	2.33333333333
110_1.764	0.00036549929031	7.1870203347	20	230	3	247	6.66666666667
1_16.561	0.503831144952	9.32242378909	6	244	3	247	2.0
102_2.027	0.0170429115758	7.90150078684	15	235	4	246	3.75
132_0.897	0.000662560445691	7.62266427475	19	231	3	247	6.33333333333
26_8.419	0.141138083578	7.92391207997	9	241	3	247	3.0
157_0.072	0.0880920479724	8.46936998302	10	240	3	247	3.33333333333
115_1.639	0.0325177385818	8.14057882708	12	238	3	247	4.0
128_0.99	0.141138083578	8.72380723143	9	241	3	247	3.0
144_0.475	0.0102427216531	7.35784841557	16	234	4	246	4.0
103_2.017	0.202700759496	8.24038670998	11	239	5	245	2.2
53_6.117	0.0195611388914	7.67553821245	18	232	6	244	3.0
107_1.934	0.0325177385818	8.34846894895	12	238	3	247	4.0
43_7.268	0.00374660526348	7.70187036726	16	234	3	247	5.33333333333
28_8.327	0.0539661281468	7.86191574557	11	239	3	247	3.66666666667
140_0.62	0.260491663689	8.82518916705	9	241	4	246	2.25
65_4.991	0.037443481344	8.00705981174	15	235	5	245	3.0
151_0.322	0.221364732468	9.30331386134	8	242	3	247	2.66666666667
30_8.261	0.141138083578	7.72633496461	9	241	3	247	3.0
148_0.432	0.141138083578	8.38336232059	9	241	3	247	3.0
129_0.97	0.000662560445691	8.01982129655	19	231	3	247	6.33333333333
84_3.229	0.0325177385818	7.97501025051	12	238	3	247	4.0
