MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
150_6.435	0.198417146252	8.37542317036	98	4902	80	4920	1.225
149_6.471	0.232378456786	8.70881500175	67	4933	53	4947	1.2641509434
52_12.371	2.78466747921e-24	8.68966795584	214	4786	54	4946	3.96296296296
115_8.865	0.000915248744057	8.50245216464	91	4909	51	4949	1.78431372549
7_19.877	0.196473143787	7.96130538539	67	4933	52	4948	1.28846153846
29_14.306	0.0023142656729	7.73917118597	90	4910	53	4947	1.69811320755
147_6.573	0.077591598574	8.19142511299	83	4917	61	4939	1.3606557377
159_5.763	0.620573998325	8.9400986927	78	4922	71	4929	1.0985915493
19_16.471	0.00571340946679	8.12656825234	85	4915	52	4948	1.63461538462
154_6.165	0.180565499913	8.44360714595	91	4909	73	4927	1.24657534247
20_15.856	4.43397026718e-06	7.79664507551	109	4891	51	4949	2.13725490196
38_13.437	0.00037057313734	8.10028842981	97	4903	53	4947	1.83018867925
193_1.873	0.360436456028	8.36493231579	66	4934	55	4945	1.2
66_11.445	0.00180092824922	8.41796714229	91	4909	53	4947	1.71698113208
86_10.314	1.0	8.90649206641	53	4947	52	4948	1.01923076923
45_12.732	0.000772411514062	8.04621912641	106	4894	62	4938	1.70967741935
138_7.614	0.481830256436	8.99298833862	70	4930	61	4939	1.14754098361
123_8.275	0.168463352031	8.07359904094	77	4923	60	4940	1.28333333333
54_12.299	0.0759357210941	8.51279919916	75	4925	54	4946	1.38888888889
13_17.617	0.00644582038017	7.96280265014	87	4913	54	4946	1.61111111111
173_4.74	0.00803674097584	8.59265974396	113	4887	76	4924	1.48684210526
178_4.267	0.502319146986	8.25721531412	59	4941	51	4949	1.1568627451
157_5.953	1.0	9.06984353721	51	4949	52	4948	0.980769230769
192_2.101	0.171524674185	8.80338550319	78	4922	61	4939	1.27868852459
97_9.884	0.0613283829388	8.36110193542	75	4925	53	4947	1.41509433962
151_6.36	0.175032724808	8.50905141764	70	4930	54	4946	1.2962962963
69_11.156	0.0176685195555	8.55162663282	80	4920	52	4948	1.53846153846
158_5.804	0.00116691982225	8.40943543503	94	4906	54	4946	1.74074074074
0_24.917	0.00154623815104	7.98248528768	89	4911	51	4949	1.74509803922
177_4.356	0.0304042326749	8.05823881351	87	4913	60	4940	1.45
56_12.162	0.567055164103	8.61792537376	59	4941	52	4948	1.13461538462
174_4.638	0.00248287812754	8.93757870956	91	4909	54	4946	1.68518518519
22_15.057	0.368662839482	7.95964315582	82	4918	70	4930	1.17142857143
101_9.649	0.000746857472931	8.22892020386	110	4890	65	4935	1.69230769231
84_10.378	0.364325535997	8.88550176629	67	4933	56	4944	1.19642857143
75_10.791	0.0349843530198	7.51691523668	91	4909	64	4936	1.421875
152_6.355	0.232378456786	8.59535009656	67	4933	53	4947	1.2641509434
87_10.313	0.308355556306	8.54599276833	65	4935	53	4947	1.22641509434
30_14.227	0.0042162169765	8.06018780594	85	4915	51	4949	1.66666666667
100_9.682	0.563561262591	8.44521645606	58	4942	51	4949	1.13725490196
160_5.713	0.0132987574158	8.4916235435	85	4915	55	4945	1.54545454545
179_4.24	0.195115368795	7.74749828812	76	4924	60	4940	1.26666666667
21_15.29	0.0472617443946	7.48968052569	74	4926	51	4949	1.45098039216
119_8.601	0.0211392703733	8.87564964255	102	4898	71	4929	1.43661971831
175_4.433	0.000338081036884	7.88631446971	100	4900	55	4945	1.81818181818
81_10.441	1.0	7.8496954067	51	4949	51	4949	1.0
198_1.143	4.97824653875e-05	8.71613963963	119	4881	64	4936	1.859375
199_1.127	0.065431569986	8.66211544935	124	4876	96	4904	1.29166666667
85_10.317	0.139693008252	7.92756028712	85	4915	66	4934	1.28787878788
184_3.59	0.922984043318	8.85083126686	53	4947	55	4945	0.963636363636
6_20.558	0.000915248744057	7.51974609859	91	4909	51	4949	1.78431372549
136_7.733	0.0172544259059	8.45997602066	85	4915	56	4944	1.51785714286
77_10.543	0.00353466941894	8.16225866944	87	4913	52	4948	1.67307692308
28_14.316	0.760893591976	7.61174896247	47	4953	51	4949	0.921568627451
60_11.96	0.0472617443946	8.52606975419	74	4926	51	4949	1.45098039216
80_10.448	0.144789499886	8.67180752273	78	4922	60	4940	1.3
26_14.353	0.0188615817886	7.87469385458	87	4913	58	4942	1.5
61_11.811	0.0168176505409	7.577787828	79	4921	51	4949	1.54901960784
186_3.308	0.00175379396188	8.58351939017	119	4881	75	4925	1.58666666667
47_12.616	0.348334089147	8.66713757474	63	4937	52	4948	1.21153846154
70_11.153	0.12113522114	7.92952054351	70	4930	52	4948	1.34615384615
39_13.24	0.00536485520105	8.02793253388	84	4916	51	4949	1.64705882353
111_9.131	0.0281171223086	8.45285244843	79	4921	53	4947	1.49056603774
104_9.514	0.920009826935	8.72506978479	49	4951	51	4949	0.960784313725
53_12.367	0.0357802192394	8.21781851065	79	4921	54	4946	1.46296296296
18_16.539	0.502319146986	8.09560826686	59	4941	51	4949	1.1568627451
108_9.217	0.392524720092	8.91535749648	61	4939	51	4949	1.19607843137
170_5.054	0.0285938729296	8.09980504967	98	4902	69	4931	1.42028985507
141_7.425	0.196473143787	9.19662621932	67	4933	52	4948	1.28846153846
93_9.932	0.0573129340347	8.39063211835	73	4927	51	4949	1.43137254902
116_8.668	0.036176547477	8.46976936162	113	4887	83	4917	1.36144578313
185_3.544	0.12113522114	8.43804740559	70	4930	52	4948	1.34615384615
182_3.715	0.0260127121672	8.25787491874	89	4911	61	4939	1.45901639344
171_4.887	0.047691481872	9.31895623851	109	4891	81	4919	1.34567901235
82_10.437	0.0403405878219	8.21027512619	76	4924	52	4948	1.46153846154
132_8.011	0.192724246933	8.74594733716	66	4934	51	4949	1.29411764706
8_18.944	0.392524720092	8.5360110502	61	4939	51	4949	1.19607843137
148_6.48	0.164478093703	8.05952160032	85	4915	67	4933	1.26865671642
43_12.808	0.00858054724666	7.86040684323	82	4918	51	4949	1.60784313725
146_6.606	0.0281851731611	7.96718118126	85	4915	58	4942	1.46551724138
166_5.219	0.0042162169765	8.58243640151	85	4915	51	4949	1.66666666667
12_17.811	0.633694978145	7.2811349151	84	4916	77	4923	1.09090909091
5_21.37	0.400719024638	8.25184821521	63	4937	53	4947	1.18867924528
125_8.215	0.845983654894	9.03537086825	55	4945	52	4948	1.05769230769
79_10.459	0.0168176505409	7.87310701879	79	4921	51	4949	1.54901960784
90_10.252	0.0472617443946	8.27713749685	74	4926	51	4949	1.45098039216
164_5.371	0.400719024638	8.90313297712	63	4937	53	4947	1.18867924528
163_5.454	0.0293132938187	8.4209106707	80	4920	54	4946	1.48148148148
17_16.556	0.0239104188448	7.8928135074	81	4919	54	4946	1.5
131_8.027	0.0796342904091	8.4164179123	84	4916	62	4938	1.35483870968
99_9.802	0.921539788681	8.64443411439	53	4947	51	4949	1.03921568627
121_8.521	0.0132987574158	7.64247197476	85	4915	55	4945	1.54545454545
120_8.532	0.141897657587	8.14803085983	77	4923	59	4941	1.30508474576
27_14.32	0.0613283829388	8.42560464878	75	4925	53	4947	1.41509433962
156_6.023	0.144789499886	8.80765409732	78	4922	60	4940	1.3
95_9.888	0.164538738449	8.17721769159	67	4933	51	4949	1.3137254902
145_6.742	0.0906023663499	9.00052150082	74	4926	54	4946	1.37037037037
36_13.616	0.0653498729167	8.68245313218	84	4916	61	4939	1.37704918033
1_24.667	0.00644582038017	7.91076049898	87	4913	54	4946	1.61111111111
89_10.283	0.183510622352	8.21075948256	82	4918	65	4935	1.26153846154
40_13.162	0.445263674263	8.74682439306	60	4940	51	4949	1.17647058824
35_13.617	0.0146430020416	7.89348551334	87	4913	57	4943	1.52631578947
176_4.393	0.572475590173	8.27418053874	107	4893	98	4902	1.09183673469
126_8.205	0.0223726807804	7.93076850173	117	4883	84	4916	1.39285714286
37_13.603	0.000338081036884	7.74348617909	100	4900	55	4945	1.81818181818
134_7.876	0.164538738449	9.01862948744	67	4933	51	4949	1.3137254902
172_4.809	0.139753826837	7.85971731141	68	4932	51	4949	1.33333333333
88_10.313	0.203841839302	8.87701126478	69	4931	54	4946	1.27777777778
16_16.763	0.00215282462139	7.47108373002	89	4911	52	4948	1.71153846154
98_9.829	0.292259750922	8.46291715662	40	4960	51	4949	0.78431372549
143_7.374	0.195115368795	8.59707523003	76	4924	60	4940	1.26666666667
196_1.768	0.141897657587	8.84477843073	77	4923	59	4941	1.30508474576
78_10.5	0.139753826837	8.45846778735	68	4932	51	4949	1.33333333333
189_2.845	0.000912004088466	8.1707727118	148	4852	96	4904	1.54166666667
74_10.894	0.00088099985802	7.78528592168	99	4901	57	4943	1.73684210526
114_8.896	0.301903823663	8.27324416467	75	4925	62	4938	1.20967741935
181_3.753	0.0472406093594	8.05816106555	87	4913	62	4938	1.40322580645
107_9.232	0.000692778556002	8.06255203693	96	4904	54	4946	1.77777777778
63_11.596	0.0134961397908	7.85902692514	80	4920	51	4949	1.56862745098
76_10.769	0.400719024638	8.3091521047	63	4937	53	4947	1.18867924528
168_5.109	0.00330028745306	8.77683761285	86	4914	51	4949	1.6862745098
109_9.213	0.0931025889515	8.1904178951	75	4925	55	4945	1.36363636364
124_8.226	0.19185125736	8.55318487879	75	4925	59	4941	1.27118644068
42_12.929	0.196473143787	8.48135038438	67	4933	52	4948	1.28846153846
9_18.265	0.392524720092	8.20644959112	61	4939	51	4949	1.19607843137
3_23.646	0.0993009870761	8.05378973533	70	4930	51	4949	1.37254901961
57_12.03	5.38456130328e-05	8.04652366112	101	4899	51	4949	1.98039215686
83_10.389	0.0329888421616	8.04518845545	83	4917	57	4943	1.45614035088
167_5.123	0.00397041048281	8.3082606315	114	4886	74	4926	1.54054054054
34_13.627	0.00377840068322	8.27171124043	88	4912	53	4947	1.66037735849
102_9.632	0.175032724808	8.15810619376	70	4930	54	4946	1.2962962963
72_11.053	0.0635110390953	8.21146765014	83	4917	60	4940	1.38333333333
162_5.578	1.0	8.73782823255	50	4950	51	4949	0.980392156863
187_2.889	0.263311696485	8.44380217423	113	4887	96	4904	1.17708333333
25_14.516	0.00755138232224	7.58690984502	95	4905	61	4939	1.55737704918
92_10.109	0.00679877764883	8.40398258758	83	4917	51	4949	1.62745098039
2_24.381	0.224565165378	7.64507031658	65	4935	51	4949	1.27450980392
169_5.067	0.0403405878219	7.8416652848	76	4924	52	4948	1.46153846154
51_12.444	0.00856256840077	7.50249008393	87	4913	55	4945	1.58181818182
68_11.423	0.634892752299	8.32200763705	59	4941	53	4947	1.11320754717
71_11.106	0.103049129214	8.35743577408	79	4921	59	4941	1.33898305085
110_9.166	0.102073574191	8.57482830515	71	4929	52	4948	1.36538461538
130_8.058	0.449274565598	8.34724204841	61	4939	52	4948	1.17307692308
137_7.642	0.583333185275	8.45529272212	64	4936	57	4943	1.12280701754
128_8.177	0.00303220942199	8.33294609632	94	4906	57	4943	1.64912280702
96_9.887	0.126551944251	8.5639069081	80	4920	61	4939	1.31147540984
48_12.531	0.232378456786	8.26369111452	67	4933	53	4947	1.2641509434
103_9.628	0.0993009870761	8.47512115172	70	4930	51	4949	1.37254901961
194_1.832	0.0250911977886	8.33084400793	114	4886	82	4918	1.39024390244
188_2.881	0.0134961397908	8.9102900946	80	4920	51	4949	1.56862745098
197_1.648	0.00575440429503	8.88957087561	90	4910	56	4944	1.60714285714
46_12.626	0.0280137813389	7.70624119089	91	4909	63	4937	1.44444444444
144_7.231	0.161725749759	8.07540424969	84	4916	66	4934	1.27272727273
161_5.628	0.802600514251	8.0172759747	75	4925	71	4929	1.05633802817
133_7.938	0.356476240688	9.07579407881	65	4935	54	4946	1.2037037037
180_3.897	8.33825460419e-08	8.50572146858	178	4822	91	4909	1.95604395604
106_9.395	0.124817485237	7.84350749732	97	4903	76	4924	1.27631578947
11_17.931	3.93486102202e-11	8.27746856989	141	4859	51	4949	2.76470588235
41_13.126	1.0	7.36503109557	50	4950	51	4949	0.980392156863
155_6.037	0.218074255626	8.48366669529	73	4927	58	4942	1.25862068966
195_1.807	0.0199508444751	8.68126970647	120	4880	86	4914	1.39534883721
91_10.209	0.136056587692	8.35966327116	75	4925	57	4943	1.31578947368
15_17.102	0.0134961397908	8.06553645796	80	4920	51	4949	1.56862745098
113_9.046	0.0101453843999	8.37350750371	107	4893	72	4928	1.48611111111
129_8.142	0.0270073405816	7.5886901087	90	4910	62	4938	1.45161290323
105_9.435	0.000103295604133	7.71800223066	111	4889	60	4940	1.85
112_9.072	0.112879243047	8.48492004247	83	4917	63	4937	1.31746031746
33_13.706	0.50611631369	8.7941535382	60	4940	52	4948	1.15384615385
62_11.677	0.0115810541181	8.95256925715	93	4907	61	4939	1.52459016393
24_14.691	0.123881222545	7.92803906267	79	4921	60	4940	1.31666666667
58_12.028	0.453160142508	7.71487319724	78	4922	68	4932	1.14705882353
94_9.922	0.00575440429503	8.08520722295	90	4910	56	4944	1.60714285714
142_7.393	0.268378372345	8.84034867481	66	4934	53	4947	1.24528301887
64_11.506	0.0573129340347	8.35293856922	73	4927	51	4949	1.43137254902
183_3.608	0.308355556306	8.84289565464	65	4935	53	4947	1.22641509434
122_8.464	1.49438519608e-05	8.58041273931	108	4892	53	4947	2.03773584906
140_7.449	0.0849709277902	8.15333826408	79	4921	58	4942	1.36206896552
44_12.757	0.118099951149	8.73482246949	69	4931	51	4949	1.35294117647
59_11.97	0.343324980973	8.53184603122	88	4912	75	4925	1.17333333333
73_11.001	0.643527508839	8.9660720675	62	4938	56	4944	1.10714285714
165_5.325	0.0208295524744	8.32219053703	108	4892	76	4924	1.42105263158
23_15.042	0.07142325795	8.38732920382	73	4927	52	4948	1.40384615385
139_7.555	0.00810239290347	8.93404689785	86	4914	54	4946	1.59259259259
49_12.528	1.0	8.17133734588	51	4949	51	4949	1.0
10_18.259	0.445263674263	8.63702248511	60	4940	51	4949	1.17647058824
191_2.301	1.0	9.00227227214	62	4938	63	4937	0.984126984127
32_14.07	0.00296272720944	7.66327177052	89	4911	53	4947	1.67924528302
118_8.633	0.0357802192394	8.5944433351	79	4921	54	4946	1.46296296296
14_17.472	0.214578167979	8.13813458384	72	4928	57	4943	1.26315789474
127_8.193	1.0	8.49347218162	52	4948	52	4948	1.0
4_21.839	0.300102516218	7.62658917791	63	4937	51	4949	1.23529411765
117_8.666	0.0290315963	8.52370565008	92	4908	64	4936	1.4375
135_7.809	0.16807043351	8.92967152223	68	4932	52	4948	1.30769230769
190_2.796	0.32781629919	7.85441113003	70	4930	58	4942	1.20689655172
65_11.503	0.0196858230647	8.20118566239	88	4912	59	4941	1.49152542373
31_14.168	0.0276542078876	7.46400273995	97	4903	68	4932	1.42647058824
55_12.293	0.0433182124285	8.88249592101	91	4909	65	4935	1.4
67_11.437	0.118099951149	8.54939240781	69	4931	51	4949	1.35294117647
153_6.278	0.00858054724666	8.10969798477	82	4918	51	4949	1.60784313725
50_12.494	0.228498161554	8.27745235155	66	4934	52	4948	1.26923076923
