MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
38_10.512	0.211625904949	8.14295258887	20	980	12	988	1.66666666667
119_5.002	0.538782099003	9.0028435645	10	990	14	986	0.714285714286
71_7.644	0.000720848539623	7.77180219315	34	966	11	989	3.09090909091
188_0.537	0.554584468195	9.01896748606	15	985	11	989	1.36363636364
169_1.568	0.837844115149	8.66603639393	13	987	11	989	1.18181818182
192_0.258	0.277269399364	8.88401671344	19	981	12	988	1.58333333333
168_1.61	0.0392199578263	8.32014780432	24	976	11	989	2.18181818182
157_2.186	0.1592712155	8.18494301847	21	979	12	988	1.75
194_0.217	0.292171581023	8.25105169525	20	980	13	987	1.53846153846
24_11.847	0.00145153405911	7.2581625232	34	966	12	988	2.83333333333
2_18.472	0.14644749602	7.99683773882	20	980	11	989	1.81818181818
161_2.094	0.0392199578263	8.31824942647	24	976	11	989	2.18181818182
177_1.353	0.107340450663	8.39276437863	21	979	11	989	1.90909090909
61_8.724	0.0555115182499	8.06751110059	23	977	11	989	2.09090909091
25_11.768	0.0242242409372	7.52420787183	31	969	15	985	2.06666666667
83_6.919	0.0450180757726	7.22090313462	25	975	12	988	2.08333333333
185_0.673	0.0631060386759	8.04084279687	28	972	15	985	1.86666666667
136_3.997	0.118281778921	8.49300837845	22	978	12	988	1.83333333333
50_9.514	0.400734414557	7.87901227497	21	979	15	985	1.4
76_7.353	0.0129790116383	8.17932615504	27	973	11	989	2.45454545455
153_2.479	0.0776657278988	8.41827581364	22	978	11	989	2.0
93_6.551	0.155407981942	8.60453653285	31	969	20	980	1.55
57_9.12	0.0555115182499	8.43487069618	23	977	11	989	2.09090909091
140_3.812	0.0106885408068	7.86831674826	29	971	12	988	2.41666666667
134_4.101	0.688161759902	8.93483184547	14	986	11	989	1.27272727273
122_4.886	0.261429128168	8.46945955203	18	982	11	989	1.63636363636
49_9.706	0.00492699417361	7.78500154988	31	969	12	988	2.58333333333
29_11.402	0.341503716374	8.23862680877	17	983	11	989	1.54545454545
79_7.205	0.261429128168	8.3920013676	18	982	11	989	1.63636363636
106_5.671	0.554584468195	8.63579340553	15	985	11	989	1.36363636364
