MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
4_13.294	0.00021513849838	7.17273978565	23	227	4	246	5.75
57_6.505	0.0193059728447	7.55381205124	13	237	3	247	4.33333333333
115_1.906	0.0539661281468	8.24342922704	11	239	3	247	3.66666666667
118_1.818	0.0325177385818	8.72617269025	12	238	3	247	4.0
104_2.433	0.0170429115758	8.63086015796	15	235	4	246	3.75
114_2.013	0.141138083578	8.96923704652	9	241	3	247	3.0
158_0.57	0.503831144952	8.13064441495	6	244	3	247	2.0
32_8.87	0.221364732468	8.43625271447	8	242	3	247	2.66666666667
155_0.684	0.260491663689	8.44849267442	9	241	4	246	2.25
6_13.064	0.0113100408791	7.93179669685	14	236	3	247	4.66666666667
150_0.966	0.0102427216531	7.61584246214	16	234	4	246	4.0
123_1.656	0.221364732468	8.93806381972	8	242	3	247	2.66666666667
120_1.759	0.00119114771316	7.9663775928	18	232	3	247	6.0
44_7.816	1.0	7.74836041224	4	246	3	247	1.33333333333
92_3.017	0.381818030249	9.61737509536	8	242	4	246	2.0
154_0.784	0.0880920479724	8.57467895704	10	240	3	247	3.33333333333
15_11.039	0.381818030249	8.00871579093	8	242	4	246	2.0
135_1.284	0.221364732468	9.02625946621	8	242	3	247	2.66666666667
97_2.872	0.0880920479724	9.01965544208	10	240	3	247	3.33333333333
110_2.297	0.724350636085	9.68317796037	5	245	3	247	1.66666666667
83_3.482	0.00895607255569	8.03745397337	18	232	5	245	3.6
1_15.018	0.0102427216531	7.19191793042	16	234	4	246	4.0
65_5.89	0.0325177385818	8.37301309701	12	238	3	247	4.0
61_6.215	0.0325177385818	8.32230187838	12	238	3	247	4.0
48_7.436	0.503831144952	7.99182869885	6	244	3	247	2.0
116_1.86	0.141138083578	8.75395031885	9	241	3	247	3.0
101_2.659	0.338778369003	8.42866800298	7	243	3	247	2.33333333333
71_5.217	0.260491663689	8.11818825466	9	241	4	246	2.25
24_10.12	0.0279847871985	7.62885748367	14	236	4	246	3.5
125_1.6	0.0325177385818	7.49037808579	12	238	3	247	4.0
87_3.281	0.503831144952	8.71712289474	6	244	3	247	2.0
107_2.331	0.00654582764502	7.54004370456	15	235	3	247	5.0
0_15.104	0.141138083578	7.14905407335	9	241	3	247	3.0
18_10.704	0.00036549929031	7.32137544406	20	230	3	247	6.66666666667
42_8.05	0.0880920479724	7.79190982898	10	240	3	247	3.33333333333
159_0.555	0.503831144952	8.51710184105	6	244	3	247	2.0
122_1.664	0.00654582764502	8.06984911765	15	235	3	247	5.0
14_11.138	0.221364732468	8.04482990285	8	242	3	247	2.66666666667
76_4.38	0.0325177385818	8.87971728555	12	238	3	247	4.0
13_11.25	0.0193059728447	7.79556914718	13	237	3	247	4.33333333333
2_14.678	0.0539661281468	7.71559893566	11	239	3	247	3.66666666667
162_0.273	0.0721527840745	8.03813079639	15	235	6	244	2.5
152_0.866	0.503831144952	9.28744036486	6	244	3	247	2.0
11_11.796	0.221364732468	8.31516902872	8	242	3	247	2.66666666667
79_4.185	0.0279847871985	7.9342392324	14	236	4	246	3.5
89_3.171	0.0721530357933	8.05938572007	12	238	4	246	3.0
33_8.782	0.221364732468	8.38951254092	8	242	3	247	2.66666666667
131_1.42	0.00654582764502	7.47409730827	15	235	3	247	5.0
53_6.976	0.221364732468	8.47879523428	8	242	3	247	2.66666666667
59_6.264	1.0	8.49144493847	5	245	4	246	1.25
112_2.14	0.0193059728447	7.90947808727	13	237	3	247	4.33333333333
82_3.538	1.0	9.44604852532	4	246	3	247	1.33333333333
85_3.312	0.000200060514782	7.65216131788	21	229	3	247	7.0
19_10.612	0.0880920479724	8.56843044187	10	240	3	247	3.33333333333
95_2.884	0.54425223294	8.60575267212	7	243	4	246	1.75
73_5.013	0.0539661281468	7.72413726732	11	239	3	247	3.66666666667
58_6.291	0.0539661281468	8.49658164132	11	239	3	247	3.66666666667
147_1.02	0.0539661281468	8.03523786356	11	239	3	247	3.66666666667
86_3.301	0.0102427216531	7.25352472868	16	234	4	246	4.0
151_0.956	0.0721530357933	8.0861043929	12	238	4	246	3.0
41_8.058	0.260491663689	8.12395324604	9	241	4	246	2.25
149_0.992	0.260491663689	9.2201218121	9	241	4	246	2.25
121_1.716	0.00356979041678	8.07151541186	18	232	4	246	4.5
31_9.52	0.00374660526348	7.96324959689	16	234	3	247	5.33333333333
160_0.424	0.0721530357933	7.96610071168	12	238	4	246	3.0
133_1.386	0.0880920479724	8.56698408904	10	240	3	247	3.33333333333
165_0.001	0.323853003083	7.57681548771	11	239	6	244	1.83333333333
164_0.13	0.00654582764502	8.59709615763	15	235	3	247	5.0
34_8.754	0.0325177385818	7.99845744618	12	238	3	247	4.0
30_9.685	0.0193059728447	7.83707055029	13	237	3	247	4.33333333333
111_2.161	0.260491663689	8.43696709721	9	241	4	246	2.25
68_5.373	0.00212257616608	7.42889983528	17	233	3	247	5.66666666667
145_1.055	0.338778369003	8.30413383831	7	243	3	247	2.33333333333
113_2.061	0.503831144952	8.44267798925	6	244	3	247	2.0
117_1.839	0.0880920479724	7.74986539279	10	240	3	247	3.33333333333
77_4.298	0.338778369003	8.15565768098	7	243	3	247	2.33333333333
138_1.214	0.54425223294	7.44711096033	7	243	4	246	1.75
88_3.195	0.0193059728447	8.10324554371	13	237	3	247	4.33333333333
157_0.632	1.0	8.86664015605	3	247	3	247	1.0
38_8.54	1.0	9.42261963383	4	246	3	247	1.33333333333
136_1.263	0.503831144952	9.22750406915	6	244	3	247	2.0
80_4.093	0.0880920479724	9.22583135863	10	240	3	247	3.33333333333
127_1.593	0.221364732468	8.4639728783	8	242	3	247	2.66666666667
16_10.865	0.0325177385818	7.81966483569	12	238	3	247	4.0
103_2.437	0.141138083578	8.21159171832	9	241	3	247	3.0
27_10.037	0.0539661281468	8.11722360645	11	239	3	247	3.66666666667
142_1.078	0.108038673338	7.9950228003	14	236	6	244	2.33333333333
94_2.909	0.724350636085	9.44929814369	5	245	3	247	1.66666666667
36_8.591	0.0193059728447	7.94455916605	13	237	3	247	4.33333333333
5_13.121	0.0539661281468	8.12572274417	11	239	3	247	3.66666666667
26_10.063	0.0113100408791	8.01847867019	14	236	3	247	4.66666666667
12_11.368	0.338778369003	8.69350853595	7	243	3	247	2.33333333333
124_1.622	0.623492457752	9.27965487021	1	249	3	247	0.333333333333
75_4.888	0.338778369003	8.66187254876	7	243	3	247	2.33333333333
134_1.314	0.00119269316795	8.01065381015	20	230	4	246	5.0
98_2.701	0.724350636085	10.0565060015	5	245	3	247	1.66666666667
74_4.995	0.338778369003	8.44615188008	7	243	3	247	2.33333333333
69_5.248	0.724350636085	8.82305951193	5	245	3	247	1.66666666667
144_1.072	0.173406847536	8.16418000508	10	240	4	246	2.5
106_2.361	0.136617717539	7.72805168625	12	238	5	245	2.4
45_7.687	0.338778369003	8.66697328523	7	243	3	247	2.33333333333
93_2.995	1.67423595296e-05	7.33602782753	25	225	3	247	8.33333333333
22_10.207	0.0880920479724	8.27945051319	10	240	3	247	3.33333333333
52_7.023	0.338778369003	9.13416187426	7	243	3	247	2.33333333333
63_6.073	0.0880920479724	8.15279011229	10	240	3	247	3.33333333333
129_1.569	0.221364732468	9.20832772531	8	242	3	247	2.66666666667
56_6.548	0.141138083578	9.11433110805	9	241	3	247	3.0
102_2.564	0.260491663689	8.04526751564	9	241	4	246	2.25
50_7.316	0.0473997615009	7.30729997513	16	234	6	244	2.66666666667
54_6.796	1.0	8.61477596659	5	245	4	246	1.25
146_1.036	0.751410308876	8.43454180315	6	244	4	246	1.5
156_0.662	0.0325177385818	8.24065924351	12	238	3	247	4.0
43_7.856	0.0325177385818	7.80777454839	12	238	3	247	4.0
46_7.681	0.503831144952	8.31226402217	6	244	3	247	2.0
141_1.108	0.503831144952	8.74619086094	6	244	3	247	2.0
8_12.502	0.141138083578	7.75983506269	9	241	3	247	3.0
10_12.03	0.0539661281468	8.32167291346	11	239	3	247	3.66666666667
128_1.581	0.338778369003	8.14691982958	7	243	3	247	2.33333333333
99_2.681	0.0102386197752	8.31314043085	21	229	7	243	3.0
47_7.504	0.11294919945	8.55026141072	11	239	4	246	2.75
109_2.306	0.00654582764502	8.64901904637	15	235	3	247	5.0
66_5.82	0.381818030249	8.38715166567	8	242	4	246	2.0
108_2.32	0.0325177385818	8.43028431278	12	238	3	247	4.0
35_8.648	0.00374660526348	7.96546005281	16	234	3	247	5.33333333333
143_1.077	0.202700759496	8.19600414528	11	239	5	245	2.2
40_8.062	0.221364732468	8.35201513327	8	242	3	247	2.66666666667
67_5.582	0.00374660526348	8.15679354924	16	234	3	247	5.33333333333
64_5.907	0.0325177385818	8.80001854022	12	238	3	247	4.0
9_12.208	0.503831144952	8.15440748583	6	244	3	247	2.0
29_9.76	0.0325177385818	8.25063968475	12	238	3	247	4.0
49_7.328	0.0721530357933	8.41695627417	12	238	4	246	3.0
105_2.379	0.0235597602518	7.95603334763	16	234	5	245	3.2
25_10.106	1.0	8.82254944096	2	248	3	247	0.666666666667
81_3.757	0.00654582764502	7.76589117222	15	235	3	247	5.0
60_6.218	0.00654582764502	8.47165010018	15	235	3	247	5.0
70_5.245	0.0193059728447	8.17801637138	13	237	3	247	4.33333333333
139_1.202	0.724350636085	9.80964679073	5	245	3	247	1.66666666667
72_5.069	0.294322143709	8.49947410908	10	240	5	245	2.0
126_1.597	1.0	9.42363043214	2	248	3	247	0.666666666667
20_10.503	0.0113100408791	7.42266128905	14	236	3	247	4.66666666667
55_6.599	0.00212257616608	7.53062914118	17	233	3	247	5.66666666667
96_2.876	0.724350636085	8.83925095653	5	245	3	247	1.66666666667
78_4.223	0.00119269316795	7.5891580574	20	230	4	246	5.0
100_2.679	0.0102427216531	7.90624274411	16	234	4	246	4.0
84_3.467	1.0	9.5205446241	4	246	3	247	1.33333333333
148_1.001	0.173406847536	8.71838307259	10	240	4	246	2.5
17_10.815	0.0113100408791	8.06642309007	14	236	3	247	4.66666666667
130_1.526	0.0880920479724	8.45905395759	10	240	3	247	3.33333333333
28_9.972	0.724350636085	8.8899101771	5	245	3	247	1.66666666667
90_3.138	0.0325177385818	8.21612212772	12	238	3	247	4.0
119_1.795	0.173406847536	8.81526471794	10	240	4	246	2.5
132_1.397	0.0193059728447	8.49301384736	13	237	3	247	4.33333333333
7_12.525	0.338778369003	8.14977466247	7	243	3	247	2.33333333333
153_0.818	0.0170429115758	7.30833541421	15	235	4	246	3.75
3_13.801	0.338778369003	8.28173060951	7	243	3	247	2.33333333333
163_0.25	0.00212257616608	7.21610150699	17	233	3	247	5.66666666667
37_8.584	0.141138083578	8.10653501719	9	241	3	247	3.0
137_1.25	0.0325177385818	8.68325493524	12	238	3	247	4.0
62_6.109	0.0539661281468	8.06209006801	11	239	3	247	3.66666666667
140_1.196	0.0193059728447	8.07191271351	13	237	3	247	4.33333333333
51_7.055	0.417244332764	8.83232658237	9	241	5	245	1.8
21_10.421	0.00374660526348	7.56413863066	16	234	3	247	5.33333333333
39_8.343	0.338778369003	8.35549918426	7	243	3	247	2.33333333333
161_0.404	0.338778369003	8.53698866663	7	243	3	247	2.33333333333
91_3.069	0.00374660526348	8.02040746285	16	234	3	247	5.33333333333
23_10.174	0.338778369003	8.15150621834	7	243	3	247	2.33333333333
