MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
33_14.322	0.0160418327884	8.14463837208	89	4911	59	4941	1.50847457627
137_7.961	0.0229434835881	8.50181477881	98	4902	68	4932	1.44117647059
51_12.715	0.000975175026804	7.52598192426	96	4904	55	4945	1.74545454545
77_10.933	0.00847821396981	8.19470087578	92	4908	59	4941	1.5593220339
154_6.748	0.254599088902	8.55081279645	73	4927	59	4941	1.23728813559
178_4.062	0.79277804977	8.6125867712	68	4932	64	4936	1.0625
63_11.904	0.0691714139977	8.42210893511	72	4928	51	4949	1.41176470588
162_5.835	0.083865949162	8.89817692698	94	4906	71	4929	1.32394366197
9_19.15	0.0149529633688	7.56310574154	82	4918	53	4947	1.54716981132
7_20.03	0.920009826935	8.61321691106	49	4951	51	4949	0.960784313725
193_2.654	0.12715632991	8.43979896091	72	4928	54	4946	1.33333333333
172_4.734	0.697627894352	9.1155174273	56	4944	51	4949	1.09803921569
153_6.789	0.00322993492489	8.87369004071	95	4905	58	4942	1.63793103448
89_10.392	0.0472617443946	7.94800583545	74	4926	51	4949	1.45098039216
60_12.23	0.0993009870761	8.76616637232	70	4930	51	4949	1.37254901961
197_2.218	0.0290315963	8.70703190528	92	4908	64	4936	1.4375
55_12.503	7.51246694984e-05	7.9647258408	104	4896	54	4946	1.92592592593
79_10.86	0.022879056052	8.52064211944	80	4920	53	4947	1.50943396226
43_13.135	0.0931025889515	8.27070477586	75	4925	55	4945	1.36363636364
168_5.143	0.00049859594679	9.13482136917	127	4873	77	4923	1.64935064935
174_4.481	0.259164393799	8.09500139855	98	4902	82	4918	1.19512195122
148_7.2	0.0226361753802	7.88930539915	104	4896	73	4927	1.42465753425
95_10.23	0.0531626761046	8.78287837856	84	4916	60	4940	1.4
81_10.685	0.143044730402	8.1680423044	69	4931	52	4948	1.32692307692
192_2.66	0.091870829201	8.67173099479	90	4910	68	4932	1.32352941176
167_5.254	0.203841839302	8.32210554403	69	4931	54	4946	1.27777777778
71_11.276	0.0508110994652	9.11779447401	76	4924	53	4947	1.43396226415
50_12.79	0.0931025889515	8.00190755251	75	4925	55	4945	1.36363636364
135_7.993	0.0759357210941	8.34502596483	75	4925	54	4946	1.38888888889
69_11.493	0.00180092824922	8.15247985776	91	4909	53	4947	1.71698113208
150_6.921	0.023104199027	8.46152640269	86	4914	58	4942	1.48275862069
144_7.468	0.14788311786	8.14571952381	108	4892	87	4913	1.24137931034
3_22.772	0.0281171223086	8.18669986249	79	4921	53	4947	1.49056603774
100_10.126	0.0316907242088	7.93647412933	76	4924	51	4949	1.49019607843
136_7.969	0.702798974235	8.34210936707	58	4942	53	4947	1.09433962264
121_8.93	0.0993009870761	8.18592258824	70	4930	51	4949	1.37254901961
88_10.501	0.143044730402	8.48855251198	69	4931	52	4948	1.32692307692
129_8.36	0.583333185275	7.51944728316	64	4936	57	4943	1.12280701754
151_6.9	0.0403405878219	8.82631793459	76	4924	52	4948	1.46153846154
30_14.873	0.0419042362965	8.29663851537	77	4923	53	4947	1.45283018868
16_17.714	0.0993009870761	8.21167061929	70	4930	51	4949	1.37254901961
161_5.845	0.707709764499	8.7924129902	60	4940	55	4945	1.09090909091
122_8.849	0.300102516218	8.5541607072	63	4937	51	4949	1.23529411765
18_17.504	0.120328400984	8.04717136963	114	4886	91	4909	1.25274725275
103_9.985	0.0403405878219	8.31357217325	76	4924	52	4948	1.46153846154
11_18.899	0.000583723988912	7.62113207041	94	4906	52	4948	1.80769230769
112_9.631	1.0	8.94245854976	50	4950	51	4949	0.980392156863
184_3.738	1.0	8.39318998454	54	4946	54	4946	1.0
141_7.802	0.134347133707	8.07768489951	122	4878	99	4901	1.23232323232
158_6.276	0.567055164103	8.78268473673	59	4941	52	4948	1.13461538462
176_4.194	0.12050209035	8.77978527549	95	4905	74	4926	1.28378378378
85_10.565	0.0172544259059	8.11706266863	85	4915	56	4944	1.51785714286
70_11.327	1.0	8.1963577202	64	4936	64	4936	1.0
52_12.666	0.010784092944	8.20994861375	81	4919	51	4949	1.58823529412
146_7.216	0.779485883122	8.34193602563	60	4940	56	4944	1.07142857143
107_9.821	0.00903529795013	8.55242648608	88	4912	56	4944	1.57142857143
196_2.371	0.0327405936739	8.52869508292	124	4876	92	4908	1.34782608696
76_11.029	0.0616768891418	8.07726850588	82	4918	59	4941	1.38983050847
188_3.005	0.224945254573	8.42252234274	75	4925	60	4940	1.25
101_10.082	0.000994689609679	7.58601065524	92	4908	52	4948	1.76923076923
170_5.044	0.0573129340347	8.96177690541	73	4927	51	4949	1.43137254902
47_12.862	0.000695688945964	7.53330782304	109	4891	64	4936	1.703125
126_8.439	3.47246393868e-05	8.79141950978	108	4892	55	4945	1.96363636364
160_6.043	0.16807043351	8.66813504512	68	4932	52	4948	1.30769230769
31_14.808	0.379209191512	8.08209982084	71	4929	60	4940	1.18333333333
177_4.101	0.0168826550778	8.55866045498	96	4904	65	4935	1.47692307692
40_13.424	0.0357802192394	7.83425630725	79	4921	54	4946	1.46296296296
191_2.679	0.000308021583349	8.52821274965	103	4897	57	4943	1.80701754386
94_10.239	0.769726020969	8.22208104254	55	4945	51	4949	1.07843137255
140_7.81	0.304264222785	8.48568327364	64	4936	52	4948	1.23076923077
23_16.153	0.010784092944	8.21299528853	81	4919	51	4949	1.58823529412
190_2.932	0.540634573733	9.06605020323	45	4955	52	4948	0.865384615385
115_9.487	0.192724246933	7.72337433942	66	4934	51	4949	1.29411764706
198_1.78	0.192724246933	9.17779887987	66	4934	51	4949	1.29411764706
53_12.568	0.0755494715719	8.21566691817	82	4918	60	4940	1.36666666667
127_8.401	0.47509897883	8.20058372429	68	4932	59	4941	1.15254237288
82_10.655	0.0304042326749	7.81104564457	87	4913	60	4940	1.45
134_8.137	0.460802834518	9.05459871106	64	4936	55	4945	1.16363636364
116_9.483	0.138986594092	7.4237419832	76	4924	58	4942	1.31034482759
104_9.922	0.078155144869	7.76534187975	116	4884	90	4910	1.28888888889
93_10.274	0.00228235764476	7.67317128817	99	4901	60	4940	1.65
2_24.62	0.16807043351	7.94285535065	68	4932	52	4948	1.30769230769
145_7.321	0.634892752299	8.92468302676	59	4941	53	4947	1.11320754717
97_10.152	0.280055644551	8.19187491025	69	4931	56	4944	1.23214285714
49_12.812	0.011255014153	7.90251558984	87	4913	56	4944	1.55357142857
156_6.718	0.0573129340347	7.57863505788	73	4927	51	4949	1.43137254902
164_5.528	0.449274565598	8.43314813544	61	4939	52	4948	1.17307692308
45_12.92	0.000763353201798	7.9980338076	93	4907	52	4948	1.78846153846
163_5.697	0.567055164103	8.48922474964	59	4941	52	4948	1.13461538462
61_12.085	0.00243140764643	8.24481724458	100	4900	61	4939	1.6393442623
62_11.975	0.0197609101858	7.75963908245	94	4906	64	4936	1.46875
99_10.149	0.0508110994652	8.12573334844	76	4924	53	4947	1.43396226415
87_10.503	0.000178650698602	7.9484711222	109	4891	60	4940	1.81666666667
84_10.639	0.0691714139977	8.66942794599	72	4928	51	4949	1.41176470588
118_9.315	0.00100087488797	7.5405929431	129	4871	81	4919	1.59259259259
91_10.302	0.705285531922	8.59157374778	59	4941	54	4946	1.09259259259
8_19.387	0.020865225912	7.82763538446	78	4922	51	4949	1.52941176471
86_10.527	0.0134961397908	8.4999674602	80	4920	51	4949	1.56862745098
37_13.853	0.0616768891418	8.59139722217	82	4918	59	4941	1.38983050847
117_9.449	0.00238510612844	8.39722009493	95	4905	57	4943	1.66666666667
24_16.151	0.192724246933	8.42826665895	66	4934	51	4949	1.29411764706
4_21.278	0.022879056052	7.85668740979	80	4920	53	4947	1.50943396226
65_11.736	1.65724395072e-06	7.60610169023	112	4888	51	4949	2.19607843137
149_7.05	0.844559958741	5.99896674836	54	4946	51	4949	1.05882352941
119_9.301	0.0221318217041	8.45521915133	97	4903	67	4933	1.44776119403
183_3.869	0.646270435305	8.95588369055	63	4937	57	4943	1.10526315789
182_3.913	0.0174926893442	8.52578833677	91	4909	61	4939	1.49180327869
0_25.137	0.0434806819417	8.58914662779	78	4922	54	4946	1.44444444444
27_15.763	0.0387906168979	7.92040912131	75	4925	51	4949	1.47058823529
124_8.834	0.00542581018374	8.31844783391	89	4911	55	4945	1.61818181818
39_13.481	0.228498161554	8.55619983561	66	4934	52	4948	1.26923076923
20_16.511	0.0281171223086	8.4025544233	79	4921	53	4947	1.49056603774
199_0.689	1.0	8.22738498307	52	4948	51	4949	1.01960784314
19_16.989	0.37189816541	8.12553476118	69	4931	58	4942	1.18965517241
157_6.568	0.563561262591	8.59516013651	58	4942	51	4949	1.13725490196
26_16.06	0.0633466846677	8.20811274051	76	4924	54	4946	1.40740740741
35_14.021	0.0387906168979	8.34949911492	75	4925	51	4949	1.47058823529
171_4.952	0.0248959821281	8.99052472085	94	4906	65	4935	1.44615384615
113_9.587	0.118099951149	8.61730385449	69	4931	51	4949	1.35294117647
10_18.971	0.00338518705091	8.37562631071	91	4909	55	4945	1.65454545455
169_5.117	0.00499572764607	8.35782936501	119	4881	79	4921	1.50632911392
12_18.472	0.000405584082789	8.03300241282	98	4902	54	4946	1.81481481481
5_21.261	0.260292329042	7.73169560543	64	4936	51	4949	1.25490196078
36_13.945	0.00257317988841	7.92414025004	87	4913	51	4949	1.70588235294
139_7.879	0.920009826935	8.90121631205	49	4951	51	4949	0.960784313725
110_9.801	0.14955225237	7.78894939266	71	4929	54	4946	1.31481481481
56_12.497	0.0134961397908	8.40770122715	80	4920	51	4949	1.56862745098
159_6.044	0.0508110994652	8.56817238865	76	4924	53	4947	1.43396226415
185_3.696	1.0	8.85138179529	54	4946	53	4947	1.01886792453
128_8.374	0.0515262190706	8.0631716847	83	4917	59	4941	1.40677966102
17_17.695	0.348334089147	8.32113856716	63	4937	52	4948	1.21153846154
175_4.231	0.144789499886	8.90205414189	78	4922	60	4940	1.3
66_11.711	0.164538738449	8.02454794112	67	4933	51	4949	1.3137254902
80_10.756	0.50611631369	8.06620840901	60	4940	52	4948	1.15384615385
194_2.472	0.714633310348	9.19550847607	63	4937	58	4942	1.08620689655
143_7.535	0.264366313429	8.30658637563	65	4935	52	4948	1.25
6_20.4	0.707709764499	8.32912124532	60	4940	55	4945	1.09090909091
42_13.326	0.001222600035	7.85855318514	99	4901	58	4942	1.70689655172
28_15.282	0.152768271705	8.61221276532	72	4928	55	4945	1.30909090909
98_10.152	0.0293132938187	8.41383691154	80	4920	54	4946	1.48148148148
44_12.954	0.0732159696945	7.58908909755	96	4904	72	4928	1.33333333333
90_10.327	0.0134961397908	8.41074755011	80	4920	51	4949	1.56862745098
195_2.461	0.292259750922	8.91557386211	40	4960	51	4949	0.78431372549
78_10.915	0.0387906168979	8.47145378373	75	4925	51	4949	1.47058823529
41_13.402	0.32781629919	8.75033124038	70	4930	58	4942	1.20689655172
34_14.218	0.118500035351	8.3282273644	77	4923	58	4942	1.3275862069
123_8.842	0.00571340946679	8.4160885415	85	4915	52	4948	1.63461538462
83_10.651	0.000542738084227	7.45663415569	119	4881	71	4929	1.67605633803
57_12.47	0.628769321416	7.71664178767	57	4943	51	4949	1.11764705882
109_9.81	0.00479996567361	8.11103549109	87	4913	53	4947	1.64150943396
130_8.293	0.628769321416	8.74693519249	57	4943	51	4949	1.11764705882
179_3.952	0.280055644551	8.81081119081	69	4931	56	4944	1.23214285714
165_5.394	0.352442830304	9.40695509911	64	4936	53	4947	1.20754716981
54_12.523	0.060771073645	8.46715671398	96	4904	71	4929	1.35211267606
133_8.182	0.00639079139864	8.14077468317	97	4903	62	4938	1.56451612903
38_13.844	0.0490308467379	8.51470864668	75	4925	52	4948	1.44230769231
67_11.675	0.239984182944	7.97027376569	69	4931	55	4945	1.25454545455
108_9.817	0.563561262591	8.41075904064	58	4942	51	4949	1.13725490196
32_14.672	0.121197116463	7.99560743252	78	4922	59	4941	1.32203389831
48_12.858	0.628769321416	8.5278546162	57	4943	51	4949	1.11764705882
72_11.226	0.0168664452134	8.06351329182	102	4898	70	4930	1.45714285714
125_8.547	0.0984617115441	8.52175785292	85	4915	64	4936	1.328125
59_12.323	0.0203184891888	8.06692127452	83	4917	55	4945	1.50909090909
106_9.828	0.0671927363124	8.41198309567	85	4915	62	4938	1.37096774194
138_7.884	0.218074255626	8.39302081986	73	4927	58	4942	1.25862068966
189_2.944	0.85130558165	8.45490632759	59	4941	56	4944	1.05357142857
25_16.076	0.0855908477931	7.88938989151	72	4928	52	4948	1.38461538462
180_3.941	0.583333185275	8.25276560364	64	4936	57	4943	1.12280701754
181_3.932	0.144789499886	8.72309970054	78	4922	60	4940	1.3
21_16.408	0.000915248744057	8.70244406934	91	4909	51	4949	1.78431372549
152_6.811	0.00484748870439	8.22137946971	124	4876	83	4917	1.49397590361
46_12.868	2.54892970024e-07	8.03304669166	119	4881	52	4948	2.28846153846
