MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
6_15.299	0.0297463383584	7.33176821242	29	971	14	986	2.07142857143
168_1.389	0.554584468195	8.86987422528	15	985	11	989	1.36363636364
35_11.238	0.0867370090622	7.5216047956	23	977	12	988	1.91666666667
105_6.658	0.844001933563	8.51134392202	14	986	12	988	1.16666666667
189_0.701	0.469638878416	9.56687841116	18	982	13	987	1.38461538462
132_4.42	0.316089896612	7.69487653384	29	971	21	979	1.38095238095
124_4.991	0.438934773827	8.55760948862	16	984	11	989	1.45454545455
156_2.537	0.00880441229977	8.31255714754	28	972	11	989	2.54545454545
104_6.755	0.197088232798	7.68337805659	19	981	11	989	1.72727272727
91_8.042	0.554584468195	8.80766927822	15	985	11	989	1.36363636364
39_11.101	0.357940471224	8.09092130835	18	982	12	988	1.5
4_16.031	0.14644749602	7.82751718565	20	980	11	989	1.81818181818
136_4.283	0.0274071947073	8.9474737911	25	975	11	989	2.27272727273
89_8.153	0.107340450663	8.14035746287	21	979	11	989	1.90909090909
128_4.753	0.0569952630064	8.80498043293	27	973	14	986	1.92857142857
165_1.851	0.0106885408068	8.49622986084	29	971	12	988	2.41666666667
170_1.338	0.568842850433	8.7288238003	16	984	12	988	1.33333333333
33_11.374	0.0555115182499	8.00560373056	23	977	11	989	2.09090909091
57_9.782	0.107340450663	7.75209708033	21	979	11	989	1.90909090909
133_4.399	0.14644749602	8.78393854379	20	980	11	989	1.81818181818
12_13.711	0.0155362464446	7.5953227138	28	972	12	988	2.33333333333
10_13.884	0.14644749602	7.72994612067	20	980	11	989	1.81818181818
28_11.612	0.107340450663	7.97910698142	21	979	11	989	1.90909090909
0_19.595	0.0776657278988	7.89529113706	22	978	11	989	2.0
183_0.961	0.00879773879069	7.33175889052	31	969	13	987	2.38461538462
80_8.818	0.261429128168	9.07797704469	18	982	11	989	1.63636363636
122_5.312	0.688161759902	8.33070925241	14	986	11	989	1.27272727273
113_5.806	0.0376849640095	8.39910475774	31	969	16	984	1.9375
103_6.933	0.107340450663	8.56377760506	21	979	11	989	1.90909090909
119_5.431	0.227379810927	7.97383891277	27	973	18	982	1.5
197_0.289	0.0450180757726	8.01284859237	25	975	12	988	2.08333333333
162_2.149	0.261429128168	8.57517574144	18	982	11	989	1.63636363636
99_7.599	0.0148660385708	8.38706056112	38	962	19	981	2.0
90_8.074	0.0122139089416	8.04383622845	33	967	15	985	2.2
195_0.358	0.0259774585876	8.57694118234	28	972	13	987	2.15384615385
131_4.523	0.0392199578263	8.52184158814	24	976	11	989	2.18181818182
76_8.928	0.0702456853274	8.10721855735	25	975	13	987	1.92307692308
166_1.756	0.00330377868903	7.70723204367	32	968	12	988	2.66666666667
137_4.16	0.438934773827	9.07910967101	16	984	11	989	1.45454545455
127_4.759	0.211625904949	8.23681617425	20	980	12	988	1.66666666667
148_2.97	0.837844115149	8.43157030476	13	987	11	989	1.18181818182
36_11.207	0.00880441229977	7.3406437764	28	972	11	989	2.54545454545
64_9.339	0.00880441229977	8.30583963111	28	972	11	989	2.54545454545
150_2.837	0.104692558924	8.25212730937	25	975	14	986	1.78571428571
74_9.016	0.837844115149	8.27044373532	13	987	11	989	1.18181818182
118_5.466	0.104692558924	8.61050670036	25	975	14	986	1.78571428571
55_9.848	1.0	8.54518257093	12	988	11	989	1.09090909091
199_0.039	0.0392199578263	8.78351830599	24	976	11	989	2.18181818182
13_13.676	0.454942716329	7.78317205092	17	983	12	988	1.41666666667
59_9.662	0.0211761406486	8.49882628376	30	970	14	986	2.14285714286
2_17.391	0.00080840499919	7.43524250289	37	963	13	987	2.84615384615
45_10.539	1.0	8.63898414522	10	990	11	989	0.909090909091
180_1.002	0.00330377868903	7.82004090504	32	968	12	988	2.66666666667
130_4.54	0.341503716374	9.20981797346	17	983	11	989	1.54545454545
67_9.314	0.107340450663	8.14201515112	21	979	11	989	1.90909090909
194_0.359	0.0450180757726	8.3964761441	25	975	12	988	2.08333333333
98_7.719	0.0555115182499	8.51793045568	23	977	11	989	2.09090909091
169_1.384	0.0223718601498	8.24262951356	27	973	12	988	2.25
73_9.045	0.183630000111	8.56430230084	23	977	14	986	1.64285714286
181_0.993	1.0	9.04781540421	11	989	11	989	1.0
144_3.508	0.197088232798	8.27423385737	19	981	11	989	1.72727272727
115_5.66	0.0392199578263	7.89067409766	24	976	11	989	2.18181818182
167_1.553	0.0463153872643	8.36434055898	29	971	15	985	1.93333333333
191_0.609	0.14644749602	8.54623426739	20	980	11	989	1.81818181818
81_8.647	0.261429128168	8.44301207481	18	982	11	989	1.63636363636
85_8.34	0.0392199578263	8.21692137154	24	976	11	989	2.18181818182
147_3.266	0.1592712155	8.1840500966	21	979	12	988	1.75
198_0.235	0.0189539717959	8.68596572165	26	974	11	989	2.36363636364
172_1.284	0.0867370090622	8.78212196442	23	977	12	988	1.91666666667
20_12.299	0.00409318512026	7.79032042125	33	967	13	987	2.53846153846
108_6.359	0.211625904949	9.19500650966	20	980	12	988	1.66666666667
146_3.373	0.688161759902	8.80157965366	14	986	11	989	1.27272727273
26_11.646	0.0189539717959	7.49077197658	26	974	11	989	2.36363636364
9_14.293	0.00602547978232	7.77306432995	32	968	13	987	2.46153846154
92_8.0	0.837844115149	8.71856162848	13	987	11	989	1.18181818182
97_7.738	0.699146586154	8.62105019014	15	985	12	988	1.25
69_9.224	1.0	8.27869877449	11	989	11	989	1.0
72_9.081	7.39759673487e-05	7.77693773514	39	961	11	989	3.54545454545
27_11.62	0.225484920742	7.91344432973	21	979	13	987	1.61538461538
65_9.336	0.341503716374	8.42820370853	17	983	11	989	1.54545454545
75_8.933	0.211625904949	8.24337317804	20	980	12	988	1.66666666667
95_7.822	1.0	8.49384645858	13	987	12	988	1.08333333333
61_9.419	0.341503716374	8.44372779304	17	983	11	989	1.54545454545
117_5.551	0.261429128168	7.98667714882	18	982	11	989	1.63636363636
