MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
76_8.031	0.211625904949	8.31132989218	20	980	12	988	1.66666666667
91_6.897	0.341503716374	8.51646024359	17	983	11	989	1.54545454545
24_11.786	0.000164579068997	7.63677649565	39	961	12	988	3.25
66_8.614	0.454942716329	8.45333612958	17	983	12	988	1.41666666667
196_0.338	0.00856200846619	8.38566625853	34	966	15	985	2.26666666667
93_6.796	0.0149363123092	8.31285164378	31	969	14	986	2.21428571429
150_2.67	0.357940471224	8.0568726923	18	982	12	988	1.5
18_12.381	0.00394587833718	7.57419799247	30	970	11	989	2.72727272727
162_2.151	0.568842850433	8.64826703556	16	984	12	988	1.33333333333
16_12.76	0.000462959532746	7.44106102989	35	965	11	989	3.18181818182
54_9.58	0.0392199578263	7.87248659423	24	976	11	989	2.18181818182
152_2.62	0.554584468195	8.69982254976	15	985	11	989	1.36363636364
114_5.469	0.0596624417297	7.9516191568	41	959	25	975	1.64
141_3.016	0.0555115182499	8.53561811698	23	977	11	989	2.09090909091
125_4.236	0.1394923718	7.72551556363	24	976	14	986	1.71428571429
165_1.911	0.00880441229977	8.06109903733	28	972	11	989	2.54545454545
95_6.712	0.277269399364	8.3975814901	19	981	12	988	1.58333333333
148_2.82	0.688161759902	9.00799178179	14	986	11	989	1.27272727273
64_8.746	0.0127363212	7.97114488638	30	970	13	987	2.30769230769
53_9.624	0.261429128168	8.15495039579	18	982	11	989	1.63636363636
190_0.831	0.688161759902	8.92349719571	14	986	11	989	1.27272727273
172_1.577	0.00219808761987	8.72395570384	33	967	12	988	2.75
175_1.508	0.118281778921	8.79048058084	22	978	12	988	1.83333333333
32_11.278	0.00591934052341	7.75436925801	29	971	11	989	2.63636363636
72_8.28	0.837844115149	8.67467956756	13	987	11	989	1.18181818182
168_1.709	0.000344762558986	8.69468526114	39	961	13	987	3.0
119_4.662	0.23870018694	8.5024160944	22	978	14	986	1.57142857143
186_1.03	0.0318997188043	9.00745176126	26	974	12	988	2.16666666667
59_9.292	0.000295397668297	7.48173397786	36	964	11	989	3.27272727273
171_1.626	0.14644749602	8.64247404624	20	980	11	989	1.81818181818
14_13.088	0.00275884039285	7.471058996	34	966	13	987	2.61538461538
189_0.839	0.0141052555262	8.02802174755	34	966	16	984	2.125
179_1.335	0.00591934052341	8.73697557165	29	971	11	989	2.63636363636
99_6.577	0.000295397668297	8.16756298638	36	964	11	989	3.27272727273
4_15.354	0.000187305155893	7.26686597487	37	963	11	989	3.36363636364
130_3.874	0.0129790116383	8.4407504199	27	973	11	989	2.45454545455
154_2.546	0.00728795350717	8.29488212302	30	970	12	988	2.5
46_10.133	0.0136136992694	7.73241571865	41	959	21	979	1.95238095238
9_14.628	0.00330377868903	7.88760368625	32	968	12	988	2.66666666667
126_4.148	0.107340450663	8.45665176826	21	979	11	989	1.90909090909
33_11.184	0.217033065121	7.42455875478	26	974	17	983	1.52941176471
153_2.615	0.00586408579866	7.36506679508	45	955	22	978	2.04545454545
116_5.06	0.0776657278988	8.3157954787	22	978	11	989	2.0
131_3.747	0.341503716374	8.77380759504	17	983	11	989	1.54545454545
145_2.885	0.341503716374	8.52778602637	17	983	11	989	1.54545454545
98_6.581	0.0259774585876	8.45300822733	28	972	13	987	2.15384615385
38_10.867	0.000295397668297	8.08837203052	36	964	11	989	3.27272727273
41_10.56	0.0129790116383	7.64157347867	27	973	11	989	2.45454545455
28_11.57	0.0392199578263	8.27139074324	24	976	11	989	2.18181818182
118_5.01	0.0259774585876	7.88355774627	28	972	13	987	2.15384615385
61_9.236	0.261429128168	8.19661996436	18	982	11	989	1.63636363636
22_11.865	0.00111477896103	7.94269438349	33	967	11	989	3.0
187_0.877	0.0555115182499	8.30840827151	23	977	11	989	2.09090909091
11_14.345	0.0223718601498	7.53140130801	27	973	12	988	2.25
174_1.539	0.837844115149	9.08642222348	13	987	11	989	1.18181818182
110_5.928	0.699146586154	8.9684596249	15	985	12	988	1.25
26_11.718	0.0392199578263	8.09438169414	24	976	11	989	2.18181818182
94_6.761	0.0223718601498	8.89205231508	27	973	12	988	2.25
68_8.525	0.183630000111	7.77910672764	23	977	14	986	1.64285714286
74_8.123	0.261429128168	8.12246946495	18	982	11	989	1.63636363636
120_4.603	0.0702456853274	7.36171202904	25	975	13	987	1.92307692308
88_7.258	0.197088232798	8.6327005423	19	981	11	989	1.72727272727
13_13.362	0.438934773827	7.86081804398	16	984	11	989	1.45454545455
85_7.508	0.050955436113	8.06526165717	26	974	13	987	2.0
178_1.351	0.0155362464446	8.29324106369	28	972	12	988	2.33333333333
127_4.031	0.0205021850093	8.32150160092	41	959	22	978	1.86363636364
194_0.569	0.60447659585	8.55784859654	19	981	15	985	1.26666666667
112_5.813	0.171665235607	8.16863505042	22	978	13	987	1.69230769231
55_9.552	0.00394587833718	7.66862368772	30	970	11	989	2.72727272727
78_7.893	0.00394587833718	7.29481874919	30	970	11	989	2.72727272727
146_2.848	0.0131491587941	7.95206682003	37	963	18	982	2.05555555556
5_15.017	0.0776657278988	7.90794738007	22	978	11	989	2.0
191_0.808	0.261429128168	9.11633759585	18	982	11	989	1.63636363636
140_3.15	0.688161759902	9.13084170338	14	986	11	989	1.27272727273
3_16.991	0.341503716374	8.00441978058	17	983	11	989	1.54545454545
101_6.39	0.261429128168	7.99882426296	18	982	11	989	1.63636363636
97_6.628	0.0776657278988	8.09760289393	22	978	11	989	2.0
80_7.823	1.0	8.88971471826	10	990	11	989	0.909090909091
0_18.85	0.000720848539623	8.14227097894	34	966	11	989	3.09090909091
151_2.664	0.554584468195	8.69978725359	15	985	11	989	1.36363636364
134_3.41	0.0336557973274	8.06626246815	30	970	15	985	2.0
155_2.526	0.149724688018	8.50788253089	25	975	15	985	1.66666666667
23_11.862	0.00394587833718	7.41686251678	30	970	11	989	2.72727272727
139_3.183	0.830879403339	8.87428075051	10	990	12	988	0.833333333333
87_7.329	0.568842850433	8.01346143731	16	984	12	988	1.33333333333
56_9.507	0.688161759902	8.66770643546	14	986	11	989	1.27272727273
193_0.594	0.0463153872643	7.97150586333	29	971	15	985	1.93333333333
123_4.387	0.438934773827	8.67293656913	16	984	11	989	1.45454545455
42_10.415	0.0223718601498	8.22829810256	27	973	12	988	2.25
45_10.15	0.050955436113	7.65195439928	26	974	13	987	2.0
89_7.135	0.122205507764	7.7202926718	27	973	16	984	1.6875
100_6.517	0.261429128168	8.15286189418	18	982	11	989	1.63636363636
62_9.219	0.00339515268159	7.89092944456	35	965	14	986	2.5
124_4.29	0.0189539717959	8.8282315466	26	974	11	989	2.36363636364
35_11.024	0.0129790116383	7.84311141556	27	973	11	989	2.45454545455
115_5.103	0.211625904949	8.30005705911	20	980	12	988	1.66666666667
44_10.227	0.261429128168	7.13206557879	18	982	11	989	1.63636363636
69_8.517	0.0628454840643	8.07858788423	24	976	12	988	2.0
12_13.848	0.0555115182499	8.20327094387	23	977	11	989	2.09090909091
105_6.249	0.469638878416	9.19641090751	18	982	13	987	1.38461538462
29_11.557	0.822915523394	8.4461613834	9	991	11	989	0.818181818182
104_6.272	0.365825353457	7.79244226872	26	974	19	981	1.36842105263
7_14.66	0.0223718601498	7.69412138319	27	973	12	988	2.25
48_9.838	0.822915523394	8.54436621007	9	991	11	989	0.818181818182
192_0.692	0.0503092753907	8.28531767936	34	966	19	981	1.78947368421
63_8.976	0.357940471224	8.25248235688	18	982	12	988	1.5
43_10.34	0.00492699417361	8.17250316566	31	969	12	988	2.58333333333
50_9.745	0.171665235607	7.85764868485	22	978	13	987	1.69230769231
34_11.15	0.357940471224	8.39034477985	18	982	12	988	1.5
180_1.304	0.0555115182499	8.85035775576	23	977	11	989	2.09090909091
19_12.348	0.0223718601498	7.8149309181	27	973	12	988	2.25
106_6.244	0.0392199578263	8.99300730739	24	976	11	989	2.18181818182
92_6.858	0.171665235607	8.48612257298	22	978	13	987	1.69230769231
