MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
21_15.048	1.94570498763e-34	10.8313690009	450	4063	162	4351	2.77777777778
22_14.74	1.19589441349e-05	10.2980217234	103	4410	49	4464	2.10204081633
33_12.29	0.164126443679	11.7650654337	85	4428	67	4446	1.26865671642
15_16.786	0.000365009534163	11.2306105167	93	4420	50	4463	1.86
35_12.086	0.00130090989859	10.4335808893	145	4368	95	4418	1.52631578947
49_6.839	8.08449102699e-07	11.2359345286	117	4396	53	4460	2.20754716981
25_14.069	0.00246336447928	9.85403365576	91	4422	54	4459	1.68518518519
27_13.78	0.000498355026163	10.0387476081	132	4381	81	4432	1.62962962963
48_8.655	0.000352718093921	10.349573796	161	4352	103	4410	1.56310679612
23_14.54	1.5046883947e-05	8.652017879	98	4415	46	4467	2.13043478261
20_15.228	4.8593314043e-17	8.38234089481	171	4342	50	4463	3.42
1_36.644	7.8218989372e-142	10.4055226279	678	3835	62	4451	10.935483871
36_12.006	3.70707205221e-10	10.2931228562	132	4381	49	4464	2.69387755102
43_10.938	0.110153768523	10.9796217357	82	4431	62	4451	1.32258064516
18_15.897	0.00228099565856	10.6543322192	171	4342	119	4394	1.43697478992
9_18.107	0.0268892410688	10.6990253733	450	4063	388	4125	1.15979381443
4_21.895	6.20256749749e-17	9.88492122958	174	4339	52	4461	3.34615384615
41_11.389	0.836575024654	10.5597202814	199	4314	194	4319	1.02577319588
10_17.753	0.0851492134055	12.4214133889	65	4448	46	4467	1.41304347826
47_9.94	3.95190241193e-34	10.2994853889	403	4110	134	4379	3.00746268657
45_10.161	0.0506483585121	12.4566253926	76	4437	53	4460	1.43396226415
11_17.587	2.28154203815e-09	10.3943577314	279	4234	157	4356	1.77707006369
40_11.656	3.52500863642e-05	9.84643947165	180	4333	110	4403	1.63636363636
34_12.13	7.68553493879e-11	9.32625887771	144	4369	54	4459	2.66666666667
17_15.899	9.36330020454e-13	10.3850264385	168	4345	62	4451	2.70967741935
42_11.169	7.14449199399e-05	10.660255911	320	4193	229	4284	1.39737991266
30_13.112	1.54847632853e-05	10.7930553552	159	4354	91	4422	1.74725274725
46_9.961	0.152379734664	10.5390005555	133	4380	110	4403	1.20909090909
38_11.714	0.419677715429	10.4423486	243	4270	225	4288	1.08
29_13.16	0.000572052541038	10.8419013616	98	4415	55	4458	1.78181818182
5_21.159	1.88614474671e-24	11.8956060138	356	4157	138	4375	2.57971014493
39_11.679	0.182100045816	10.239823087	196	4317	170	4343	1.15294117647
26_13.949	0.00319732945811	10.1836775224	126	4387	83	4430	1.51807228916
44_10.86	0.0989401509251	10.6789817251	131	4382	105	4408	1.24761904762
28_13.432	0.292020123871	11.5906657521	40	4473	51	4462	0.78431372549
6_20.743	9.41114616546e-15	9.17025508341	166	4347	54	4459	3.07407407407
2_26.221	2.16555797948e-35	13.5309613719	249	4264	47	4466	5.29787234043
14_16.975	0.769596177304	11.2454385003	55	4458	51	4462	1.07843137255
3_25.272	9.81854346725e-39	11.9346052055	263	4250	47	4466	5.59574468085
12_17.162	0.102498428699	10.4582447799	64	4449	46	4467	1.39130434783
19_15.537	9.38360946246e-06	10.4071720562	122	4391	62	4451	1.96774193548
0_37.539	6.70177229652e-258	11.5256788981	1130	3383	92	4421	12.2826086957
16_16.351	0.00432563057042	8.24741818785	158	4355	111	4402	1.42342342342
24_14.16	0.000167570450222	10.8552568987	93	4420	48	4465	1.9375
31_12.884	0.000744209750717	10.6187023114	129	4384	80	4433	1.6125
37_11.759	0.152379757446	12.0284040955	100	4413	80	4433	1.25
13_17.007	2.12193487403e-06	10.5999322068	561	3952	420	4093	1.33571428571
7_19.054	0.843008126318	12.8926045483	50	4463	53	4460	0.943396226415
32_12.436	0.374812749869	9.856080494	57	4456	47	4466	1.21276595745
8_18.894	1.30381461239e-22	10.7667361462	452	4061	211	4302	2.14218009479
