MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
126_1.664	0.417244332764	8.09543832402	9	241	5	245	1.8
71_4.737	0.141138083578	8.31685120009	9	241	3	247	3.0
140_1.072	0.0539661281468	8.62584592577	11	239	3	247	3.66666666667
70_4.787	0.0539661281468	8.03019686946	11	239	3	247	3.66666666667
27_9.91	0.724350636085	8.94832227357	5	245	3	247	1.66666666667
60_6.367	0.221364732468	8.47615138961	8	242	3	247	2.66666666667
3_14.672	0.338778369003	8.19589457617	7	243	3	247	2.33333333333
52_6.968	0.0279847871985	8.06296331072	14	236	4	246	3.5
102_2.436	0.00212257616608	8.09317680968	17	233	3	247	5.66666666667
59_6.369	0.0325177385818	7.76999655867	12	238	3	247	4.0
53_6.816	0.503831144952	9.1045067682	6	244	3	247	2.0
132_1.419	0.0306668735948	7.85416841996	17	233	6	244	2.83333333333
156_0.364	0.0325177385818	7.84108182709	12	238	3	247	4.0
136_1.335	0.0193059728447	7.53842732048	13	237	3	247	4.33333333333
150_0.793	0.141138083578	8.42813280802	9	241	3	247	3.0
134_1.38	0.724350636085	8.71472818788	5	245	3	247	1.66666666667
69_4.966	0.221364732468	9.5049437709	8	242	3	247	2.66666666667
36_8.156	1.0	8.21501550657	4	246	3	247	1.33333333333
45_7.556	0.125194975304	7.85222453281	15	235	7	243	2.14285714286
15_11.714	0.0880920479724	7.6204261433	10	240	3	247	3.33333333333
109_2.118	0.0880920479724	7.89975286184	10	240	3	247	3.33333333333
146_0.85	0.503831144952	9.01157275233	6	244	3	247	2.0
75_3.864	0.338778369003	8.22695455507	7	243	3	247	2.33333333333
61_6.355	0.0880920479724	8.01930820662	10	240	3	247	3.33333333333
28_9.478	0.0539661281468	8.11307001374	11	239	3	247	3.66666666667
43_7.661	0.0539661281468	7.62327325054	11	239	3	247	3.66666666667
99_2.524	0.0452927517327	7.73821708361	13	237	4	246	3.25
96_2.634	0.221364732468	9.14552915899	8	242	3	247	2.66666666667
0_21.632	4.00934150282e-11	7.95088873445	44	206	3	247	14.6666666667
130_1.455	0.503831144952	9.05070819064	6	244	3	247	2.0
47_7.466	0.00374660526348	7.26229263977	16	234	3	247	5.33333333333
151_0.733	1.0	9.32381639137	3	247	3	247	1.0
16_11.407	0.00119114771316	7.54180358617	18	232	3	247	6.0
80_3.436	0.000662560445691	7.7974114608	19	231	3	247	6.33333333333
103_2.371	0.221364732468	8.77897262652	8	242	3	247	2.66666666667
148_0.821	0.000679693939633	7.51918249276	21	229	4	246	5.25
46_7.506	1.0	8.51331634819	4	246	3	247	1.33333333333
101_2.46	0.0325177385818	8.1991796519	12	238	3	247	4.0
97_2.582	1.0	9.57959435605	2	248	3	247	0.666666666667
159_0.035	0.0539661281468	7.72497670171	11	239	3	247	3.66666666667
30_8.993	0.0880920479724	8.41153378	10	240	3	247	3.33333333333
94_2.714	0.338778369003	8.4377396694	7	243	3	247	2.33333333333
49_7.364	0.0880920479724	8.77563978014	10	240	3	247	3.33333333333
10_12.463	0.724350636085	8.34000258562	5	245	3	247	1.66666666667
35_8.318	0.0193059728447	7.85494856725	13	237	3	247	4.33333333333
93_2.821	0.00374660526348	8.96644770878	16	234	3	247	5.33333333333
