MOTIF	p-value	scoreCutoff	PosMatches	PosNonMatches	NegMatches	NegNonMatches	Enrichment
25_5.729	1.22533827487e-17	8.61772322539	385	15172	184	15373	2.09239130435
6_12.98	4.72863171667e-32	9.62901425802	437	15120	157	15400	2.78343949045
16_9.376	1.02393173186e-138	9.06848258217	929	14628	156	15401	5.95512820513
46_2.911	4.96681533377e-34	9.40273828224	481	15076	177	15380	2.71751412429
18_8.659	2.76786135755e-12	9.58730881483	306	15251	157	15400	1.94904458599
34_4.955	2.28396842699e-34	10.8388123317	470	15087	169	15388	2.78106508876
40_3.96	3.25517279188e-09	9.1163022269	288	15269	163	15394	1.76687116564
42_3.656	8.16264388312e-31	10.1028037316	609	14948	274	15283	2.22262773723
13_10.402	2.7853312838e-119	8.68759697907	885	14672	173	15384	5.11560693642
24_6.0	1.50229079048e-62	10.4328784847	595	14962	156	15401	3.8141025641
21_6.386	1.70071283545e-112	9.05852239493	860	14697	175	15382	4.91428571429
44_3.503	4.06571431901e-111	8.93357634086	919	14638	207	15350	4.43961352657
38_4.276	1.47071172101e-40	10.2223757919	535	15022	187	15370	2.86096256684
32_5.084	1.98770397156e-58	10.2979388897	631	14926	187	15370	3.3743315508
4_13.344	3.26518846576e-46	10.3710335406	513	15044	156	15401	3.28846153846
49_1.762	2.14719060628e-28	9.29835498421	417	15140	158	15399	2.63924050633
5_13.291	2.64528131019e-194	9.53304197835	1151	14406	157	15400	7.33121019108
28_5.429	8.97302104503e-80	10.4499421254	801	14756	222	15335	3.60810810811
2_17.239	0.0	10.6432332385	1995	13562	158	15399	12.6265822785
30_5.266	7.95129952404e-56	10.3555516195	562	14995	156	15401	3.60256410256
9_10.97	3.15444688338e-228	9.27287127364	1307	14250	168	15389	7.77976190476
14_10.005	8.46115770724e-126	10.619529165	878	14679	157	15400	5.5923566879
17_8.678	2.50468758745e-11	10.2264230727	332	15225	182	15375	1.82417582418
23_6.226	0.362171130745	9.4697842303	185	15372	167	15390	1.10778443114
27_5.436	1.6644688678e-31	9.45031123401	458	15099	172	15385	2.66279069767
31_5.249	7.34020609695e-140	10.0571027822	1150	14407	259	15298	4.44015444015
15_9.525	0.000402558482631	8.69005188046	120	15437	182	15375	0.659340659341
35_4.466	9.57463224704e-28	10.5601696553	636	14921	308	15249	2.06493506494
3_13.845	3.65800365864e-168	10.9041575626	1068	14489	165	15392	6.47272727273
43_3.592	8.27077343924e-34	9.92046444456	470	15087	171	15386	2.7485380117
7_12.017	1.61236972153e-61	9.87954279504	590	14967	156	15401	3.78205128205
11_10.498	1.83804610103e-74	9.79586829635	688	14869	175	15382	3.93142857143
1_21.002	0.0	11.0133899465	2058	13499	168	15389	12.25
0_38.208	0.0	9.18110784628	5907	9650	156	15401	37.8653846154
10_10.734	3.75494563784e-31	10.3718074824	435	15122	159	15398	2.7358490566
41_3.677	4.16185239936e-15	9.62888575529	363	15194	182	15375	1.99450549451
48_2.201	1.92923980113e-07	9.7173205379	333	15224	212	15345	1.57075471698
47_2.214	4.12093136716e-43	9.68870674435	507	15050	162	15395	3.12962962963
22_6.297	8.53825750011e-31	8.98227619804	603	14954	270	15287	2.23333333333
20_7.009	1.32311562554e-43	9.90068875565	501	15056	157	15400	3.19108280255
12_10.497	7.24854075152e-05	10.3141582646	242	15315	162	15395	1.49382716049
37_4.359	5.03669079748e-76	9.00619241667	746	14811	202	15355	3.69306930693
8_11.673	8.36804675149e-43	10.8289399008	495	15062	156	15401	3.17307692308
29_5.39	1.33978839319e-29	10.0471849935	421	15136	156	15401	2.69871794872
39_4.251	7.52731909096e-36	10.1025487152	462	15095	159	15398	2.90566037736
26_5.53	2.95875122754e-64	10.0660027612	607	14950	158	15399	3.8417721519
19_8.278	4.61327063529e-05	8.96560451821	237	15320	156	15401	1.51923076923
33_5.072	3.68781981174e-181	9.50554735857	1287	14270	240	15317	5.3625
36_4.426	1.3482999608e-35	9.60908094101	482	15075	172	15385	2.8023255814
45_3.195	3.06388063978e-28	9.32899679295	489	15068	205	15352	2.38536585366
